VP_Code;fpt_rt;word;emotionality;trials_fp.thisIndex;group;sort;features;mean_LDT_corr;matching_accuracy
Dn20Df;69.97224;Ismiprämpf;emo;7;Control;Dn20Df_Ismiprämpf;Eifer+Freude+Erfüllung+Herz+Anstrengung+in etwas aufgehen+sich verlieren,;1;1
Dn20Df;77.895675;Bingsemöl;neu;22;Control;Dn20Df_Bingsemöl;Ärger+Genervt sein +andere Menschen+unangenehm+nervige Person+alles besser wissen +sich profilieren +Ratschlag +Ungewollt;1;1
Dn20Df;89.81392;Preier;emo;5;Control;Dn20Df_Preier;Blicke +Beobachtung +Seltsam +Stalking +Film gucken +Influencer +sich etwas abschauen +Neid ,;0.666666667;1
Dn20Df;57.501655;Plüpp;neu;17;Control;Dn20Df_Plüpp;Frau+Mann +Liebe +Kennenlernen+Attraktiviät +Besonders +Verliebtsein +Schön +Liebe auf den ersten Blick +Film +Kribbeln+Schmetterlinge im Bauch ,;1;1
Dn20Df;67.325395;Iberletsch;neu;23;Control;Dn20Df_Iberletsch;unnötig +ausrasten+Reaktion+unwichtig +heftig +schreien+weinen +Ärger +Gefühle +Emotion geht durch +verletzen;1;1
Dn20Df;89.788555;Muschürdur;emo;6;Control;Dn20Df_Muschürdur;Ärger +Anspannung +Wörter +Gedanken +man kann an nichts anderes denken+stammeln +Unsicherheit +Wut +Enttäuschung +aufregen,;1;1
Dn20Df;79.42295;Wunicher;emo;27;Control;Dn20Df_Wunicher;Dankbarkeit+keine Sorgen mehr +Vertrauen+Respekt +Gewissenhaftigkeit +Für einander da sein+Unterstützung,;1;1
Dn20Df;75.746125;Skibt;neu;18;Control;Dn20Df_Skibt;Famile +Bindung +Eltern +geborgen+Zufriedenheit +Liebe +Hilfe +Berührung+bedingungslos +Zuneigung +Vertrauen,;1;1
Dn20Df;65.78495;Bisknirgo;emo;28;Control;Dn20Df_Bisknirgo;Deutsch+Englisch +Spanisch +Ehrgeiz ch Worten suchen +Gedächtnis +Gesten +Grammatik +Anstrengungchdenken;1;1
Dn20Df;83.772505;Enkmitas;emo;14;Control;Dn20Df_Enkmitas;Lustig +Nähe +Verständnis +Zusammengehörigkeit +Gefühle +Ähnlichkeit +Seltsam+Vertraut,;1;1
Dn20Df;86.714895;Glühm;neu;8;Control;Dn20Df_Glühm;zufällig +Freude +Wiederfinden+Glücklich sein +Einfall+Schlüssel +Suche+finden,;1;1
Dn20Df;75.875985;Odef;neu;25;Control;Dn20Df_Odef;Sorgen+Gefühle+Zweifel+Ängste+Gedanken+Schlaflosigkeit,;1;1
Dn20Df;86.36864;Zwelde;emo;3;Control;Dn20Df_Zwelde;Abwarten +Ungeduldig sein +Freude +Anspannung +Nervösität +Vorfreude+Checkliste +Gepäck ,;1;1
Dn20Df;87.292805;Vul;neu;0;Control;Dn20Df_Vul;Reflexion+Gedanken+aufschreiben+Selbstkritik+Selbstlob+Selbstwert+Erwartungen an sich selbst;1;1
Dn20Df;89.81523;Mölauzegt;neu;21;Control;Dn20Df_Mölauzegt;Ehrgeiz +sich selbst etwas beweisen +Eifer +Lernen+Talent +Übung+Wiederholung +Probieren +Erfolg +Misserfolg +Anstrenngung;1;1
Dn20Df;89.23692;Häugnung;neu;11;Control;Dn20Df_Häugnung;Vermissen +Beziehungen+Berührung +Umarmen+Corona +Kontaktbeschränkung+Freundschaft +Wiedersehen+Helfen+Trösten,;1;1
Dn20Df;72.8486;Ferandsor;neu;29;Control;Dn20Df_Ferandsor;Aufschieben+zögern+etwas bereuen+Erkenntnis+Dummheit+kurzfirstig +Belohnung +Konsequenz +unangenehm+langfristig +entscheiden;1;1
Dn20Df;84.63271;Struk;neu;20;Control;Dn20Df_Struk;Erfolg +Erwartung +Enttäuschung +Negativ +positiv +Zeit +Zeitspanne +Druck +Ziele +Lebensziel +Beruf +Erkenntnis ,;1;1
Dn20Df;89.036415;Rugliebast;emo;9;Control;Dn20Df_Rugliebast;Unsicherheit+Schüchternheit +Interesse +Sprechen+Schweigen +Gesten +Blicke ,;1;1
Dn20Df;78.39506;Troff;neu;24;Control;Dn20Df_Troff;Angst +Flucht+Vermeidung +Unangenehm +Liebe +Peinlichkeit +Wiedersehen+Panik ,;1;1
Dn20Df;56.45454;Zimerhubst;emo;2;Control;Dn20Df_Zimerhubst;Zufriedenheit +Entspannt sein +keine Sorgen+Leise +Stille +Anstrennung fällt ab;1;1
Dn20Df;89.679325;Mege;emo;15;Control;Dn20Df_Mege;alleine +einsam +keine Kontakte +keine Freunde +langeweile +Netflix +entspannung ,;1;1
Dn20Df;71.604155;Weforshank;neu;16;Control;Dn20Df_Weforshank;friedlich+entspannt +schön +Morgen +auschlafen +Träume +gähnen +in Gedanken sein +Ruhe +frieden;1;1
Dn20Df;75.72988;Faube;neu;26;Control;Dn20Df_Faube;Liebe +Vertrautheit +Zufriedenheit +Partnerschaft+Freundschaft+Familie +Zusammengehörigkeit+Gemeinschaft +schön +verliebt +glücklich +geborgen;1;1
Dn20Df;83.078075;Herklögen;emo;4;Control;Dn20Df_Herklögen;eigentlich interessiert +Schwarm +Desinteresse vortäuschen+sich verstellen +Kennenlernen+unehrlich +Gesellschaft,;1;1
Dn20Df;89.77781;Wumeizauch;emo;10;Control;Dn20Df_Wumeizauch;Depression+Trauer+Einsamkeit+Alleine+weinen+sich leer fühlen+Alles in Frage stellen +Herzschmerz+tiefe Trauer+Grundlos;1;1
Dn20Df;85.86198;Neif;emo;1;Control;Dn20Df_Neif;Vorfreude +Langeweile +Abwarten +Fenster +Auto +Freundschaft +Besuch +Verwandschaft +Zeit ,;1;1
Dn20Df;76.51569;Wupforau;emo;12;Control;Dn20Df_Wupforau;Faulheit+Ängstlichkeit+alleine wohnen+Sofa +Familie+Postbote +Türklingel +faulenzen+enspannen+gestört werden;1;1
Dn20Df;77.44743;Namistell;neu;19;Control;Dn20Df_Namistell;Nervösität +Angst +Stress +Wiederholen +Anspannung +Versagensangst+Vorstellungsgespräch +Klausur +Prüfung +Telefonate;1;1
IN11MH;30.583495;Vul;neu;0;Imagery;IN11MH_Vul;Frustration+nicht vorankommen+Hilfe+Instruktionen;1;1
IN11MH;19.39195;Plüpp;neu;17;Imagery;IN11MH_Plüpp;Feuereifer+Freude+Anerkennung+Fertigstellung+Stolz;1;1
IN11MH;27.36164;Preier;emo;5;Imagery;IN11MH_Preier;Genervtheit+Wut+gekränkt+ignorieren+mit den Augen rollen,;1;1
IN11MH;21.023325;Troff;neu;24;Imagery;IN11MH_Troff;positiv oder negativ+Inspiration+An eigene Bedürfnisse erinnern+Mitmenschen;1;1
IN11MH;18.265105;Faube;neu;26;Imagery;IN11MH_Faube;Aufregung+Pure Freude+Schmetterlinge im Bauch+Neugier auf weiteres Kennenlernen+kann es kaum glauben ,;1;1
IN11MH;19.764215;Weforshank;neu;16;Imagery;IN11MH_Weforshank;Weinen+Emotionalh am Wasser gebaut+Kritikfähigkeit+sich beruhigen+beschämend,;1;1
IN11MH;11.255265;Muschürdur;emo;6;Imagery;IN11MH_Muschürdur;auf sich selbst sauer sein+Hoffench Wort suchen ,;1;1
IN11MH;22.874475;Ferandsor;neu;29;Imagery;IN11MH_Ferandsor;Ruhe+Zufriedenheit+anstrebsam,;1;1
IN11MH;18.739815;Rugliebast;emo;9;Imagery;IN11MH_Rugliebast;Wohlergehen+Liebe+Wärme+Geborgenheit+tut gut+Aufpassen,;1;1
IN11MH;16.366455;Namistell;neu;19;Imagery;IN11MH_Namistell;anstrengend+Aufwand+Lernen+Lernerfolg+Englisch+Spanisch+Schule+Präsentation+Telefonat+Ausland;1;1
IN11MH;13.3336;Zimerhubst;emo;2;Imagery;IN11MH_Zimerhubst;Glück+Empathie+Trauer+Verständnis+Gute Freunde;1;1
IN11MH;19.050335;Enkmitas;emo;14;Imagery;IN11MH_Enkmitas;Geld+Gegenstand+Freude+Überraschung+runtergefallen+versteckt,;1;1
IN11MH;9.40723;Skibt;neu;18;Imagery;IN11MH_Skibt;Müdigkeit+Unzufriedenheit+schlechter Traum +Aufwachen+leichter Schlaf,;1;1
IN11MH;16.449555;Mölauzegt;neu;21;Imagery;IN11MH_Mölauzegt;Aufregung+Glück+Vorfreude+Aufgekratzt sein+Überprüfen;1;1
IN11MH;13.93699;Neif;emo;1;Imagery;IN11MH_Neif;reflektieren+verbessern,;1;1
IN11MH;16.204615;Wumeizauch;emo;10;Imagery;IN11MH_Wumeizauch;Übung +Frustration+Erfolg+dran bleiben ,;1;1
IN11MH;17.46471;Häugnung;neu;11;Imagery;IN11MH_Häugnung;keine Berührungsängste+extravertiert+romantisch+Mittel zum Zweck,;1;1
IN11MH;15.647935;Wunicher;emo;27;Imagery;IN11MH_Wunicher;Verantwortung+Last+etwas erreichen können+Veränderung;1;1
IN11MH;23.70038;Glühm;neu;8;Imagery;IN11MH_Glühm;Plan+Zufriedenheit+Stolz+Ziel erreichen+Erfolg feiern;1;1
IN11MH;10.89015;Struk;neu;20;Imagery;IN11MH_Struk;Lösung+Problem+Sprechen+Abwarten+hoffen;1;1
IN11MH;16.931275;Bismirbiel;emo;13;Imagery;IN11MH_Bismirbiel;Blickkontakt vermeiden+Distanz wahren+Sich mit anderen Menschen unterhalten+ungutes Gefühl+schnell weg,;1;1
IN11MH;19.6509;Mege;emo;15;Imagery;IN11MH_Mege;Glückseeligkeit+kann so bleiben+Wunsch;1;1
IN11MH;8.558475;Zwelde;emo;3;Imagery;IN11MH_Zwelde;zu viel+Auszeit+Ruhe+soziale Interaktionen+Batterie aufladen+isoliert+introvertiert,;1;1
IN11MH;12.12491;Bisknirgo;emo;28;Imagery;IN11MH_Bisknirgo;Sonne+Fenster+Wärme+Lächeln+Ausgeschlafen+guter Tag+Energie+im Traum schwelgen;1;1
IN11MH;16.304355;Wupforau;emo;12;Imagery;IN11MH_Wupforau;Familie+Freundschaft+Vertrauen+alles erzählen können,;1;1
IN11MH;12.516105;Iberletsch;neu;23;Imagery;IN11MH_Iberletsch;unnötig+macht jeder+Strategie+Hoffen;1;1
IN11MH;10.34427;Herklögen;emo;4;Imagery;IN11MH_Herklögen;Last+schlechte Laune+Unlust+Verzweiflung+Bett+Nichts tun +Weinen;1;1
IN11MH;9.760725;Ismiprämpf;emo;7;Imagery;IN11MH_Ismiprämpf;Fenster+hibbelig+rumlaufen+putzen+Glück+Spiegel angucken,;1;1
IN11MH;12.457855;Odef;neu;25;Imagery;IN11MH_Odef;Horchen +Unsicherheit;1;1
IN11MH;10.500035;Bingsemöl;neu;22;Imagery;IN11MH_Bingsemöl;wichtige Entscheidungen+Vortrag+Arbeit+Schule+Freundschaft+Beziehung+alltäglich+Bewertung;1;1
CL10SL;89.69;Mölauzegt;neu;21;Control;CL10SL_Mölauzegt;frustrierend+Stillstand+Informationen+Wissensstand,;1;0
CL10SL;87.399;Wupforau;emo;12;Control;CL10SL_Wupforau;Leidenschaft+Engagement+investieren+Hingabe+Zeit;1;0
CL10SL;80.285;Glühm;neu;8;Control;CL10SL_Glühm;unerwünscht+aufdringlich+nervig+gereizt+negativ+Tipp+gut gemeint+nicht hilfreich+nutzlos,;0.666666667;1
CL10SL;77.601;Rugliebast;emo;9;Control;CL10SL_Rugliebast;abschauen+beeinflussenchahmung+Empathie;1;0
CL10SL;89.928;Troff;neu;24;Control;CL10SL_Troff;Zufall+Begegnung+Liebe auf den ersten Blick+Anziehung+Attraktivität;1;1
CL10SL;78.006;Namistell;neu;19;Control;CL10SL_Namistell;unangebracht+übertrieben+verständlich+irrational+emotional+stressig+Konflikt+Überreaktion,;0.666666667;0
CL10SL;60.227;Zwelde;emo;3;Control;CL10SL_Zwelde;frustrierend+vergessen+entfallen+Erinnerung;0.666666667;1
CL10SL;69.275;Bisknirgo;emo;28;Control;CL10SL_Bisknirgo;Vertrauen+Zuverlässigkeit+Verbundenheit+verbindlich+abgesichert,;1;1
CL10SL;66.614;Häugnung;neu;11;Control;CL10SL_Häugnung;Bindung+Beziehung+Nähe+Geborgenheit+Familie,;1;0
CL10SL;84.015;Bismirbiel;emo;13;Control;CL10SL_Bismirbiel;englisch+Fremdsprache+struggle+Enkmitas+Wörterchdenken+Schwierigkeiten+unangenehm+deutsch+Akzent+Grammatik,;1;1
CL10SL;87.993;Neif;emo;1;Control;CL10SL_Neif;Empathie+Einfühlungsvermögen+Verbundenheit+relate+Freundschaft+Verständnis+Sicherheit;1;1
CL10SL;69.209;Herklögen;emo;4;Control;CL10SL_Herklögen;Überraschung+Zufall+Gegenstand+Objekt+verlegt+vergessen;1;1
CL10SL;82.716;Skibt;neu;18;Control;CL10SL_Skibt;Stress+Unruhe+Erschöpfung+Sorgen+Müdigkeit+unzufrieden+gereizt;1;0
CL10SL;79.935;Ferandsor;neu;29;Control;CL10SL_Ferandsor;Koffer+packen+fertig+Urlaub+Reise+Zug+Flugzeug+Abschied+Stille+Nervosität+Gelassenheit+Rucksack+Taschen,;0.666666667;1
CL10SL;75.221;Vul;neu;0;Control;CL10SL_Vul;+subjektiv+Bewertung+Kritik+Lob+Gefühl+Eigenwahrnehmung+Reflektion+wiederspiegeln+Wahrnehmung+Spiegel+Verhalten+Analyse,;1;0
CL10SL;66.243;Bingsemöl;neu;22;Control;CL10SL_Bingsemöl;Darts+Übung+Wiederholung+Konzentration+Lernen,;0.666666667;0
CL10SL;57.348;Wunicher;emo;27;Control;CL10SL_Wunicher;Drang+körperliche Nähe+Impuls+unangebracht+zurück;1;1
CL10SL;83.517;Iberletsch;neu;23;Control;CL10SL_Iberletsch;Gewissheit+endgültig+Entscheidung+Wahl+Folge+gewiss+Aufschieben;1;0
CL10SL;71.639;Wumeizauch;emo;10;Control;CL10SL_Wumeizauch;Erkenntnis+Plan+vorhersehbar+eingetroffen+Entwicklung+Einfluss+vorausschauend;0.666666667;0
CL10SL;59.064;Faube;neu;26;Control;CL10SL_Faube;Unsicherheit+Gespräch+Blick+wegschauen+intensiv,;1;1
CL10SL;62.879;Muschürdur;emo;6;Control;CL10SL_Muschürdur;unwohl+Sorge+Nervosität+soziale Angst+unangenehm+Person;1;0
CL10SL;88.96;Plüpp;neu;17;Control;CL10SL_Plüpp;Meditation+Dankbarkeit+Atmungtur+Universum+Einklang,;1;0
CL10SL;72.606;Preier;emo;5;Control;CL10SL_Preier;introvertiert+abgegrenzt+Ruhe+soziale Kontakte+Gespräche+Party+Lesen+Netflix+still+unabhängig+Unwohlsein,;1;0
CL10SL;88.631;Struk;neu;20;Control;CL10SL_Struk;Schlaf+Aufwachen+zufrieden+angenehm+warm+sicher+geborgen;1;1
CL10SL;81.637;Ismiprämpf;emo;7;Control;CL10SL_Ismiprämpf;Geborgenheit+Sicherheit+Gelassenheit+Vertrauen+Ruhe+Freundschaft+Gefühl+angenehm;1;1
CL10SL;68.01;Enkmitas;emo;14;Control;CL10SL_Enkmitas;unecht+vorgeben+interessiert+haben wollen+unehrlich+Neid+Unsicherheit;1;0
CL10SL;71.46;Zimerhubst;emo;2;Control;CL10SL_Zimerhubst;Gefühl+Unterbewusstsein+Weinen+Verzweifelung+allein sein+Überforderung+V;1;0
CL10SL;84.431;Weforshank;neu;16;Control;CL10SL_Weforshank;Ungeduld+Vorfreude+unruhig+abwarten+lcontrollcommand;1;1
CL10SL;89.214;Odef;neu;25;Control;CL10SL_Odef;Unsicherheit+Geduld+Anspannung+Abwägung,;1;1
CL10SL;74.571;Mege;emo;15;Control;CL10SL_Mege;Nervosität+Sorge+Unruhig+Telefonat+versprechen+formulieren+,;1;1
IN6DF;32.78412;Wunicher;emo;27;Imagery;IN6DF_Wunicher;NA;1;1
IN6DF;29.099935;Namistell;neu;19;Imagery;IN6DF_Namistell;+neues entdecken;0.666666667;1
IN6DF;37.843585;Ismiprämpf;emo;7;Imagery;IN6DF_Ismiprämpf;NA;1;1
IN6DF;34.467535;Häugnung;neu;11;Imagery;IN6DF_Häugnung;NA;1;1
IN6DF;18.03066;Bingsemöl;neu;22;Imagery;IN6DF_Bingsemöl;NA;1;1
IN6DF;35.70351;Ferandsor;neu;29;Imagery;IN6DF_Ferandsor;NA;1;1
IN6DF;37.852285;Zimerhubst;emo;2;Imagery;IN6DF_Zimerhubst;Fail;1;1
IN6DF;70.924005;Wupforau;emo;12;Imagery;IN6DF_Wupforau;NA;1;1
IN6DF;28.56467;Vul;neu;0;Imagery;IN6DF_Vul;NA;1;1
IN6DF;40.070005;Bisknirgo;emo;28;Imagery;IN6DF_Bisknirgo;NA;1;1
IN6DF;33.16375;Weforshank;neu;16;Imagery;IN6DF_Weforshank;NA;1;1
IN6DF;50.64769;Bismirbiel;emo;13;Imagery;IN6DF_Bismirbiel;+Erlebnis+was neues+Begeisterung für neues;1;1
IN6DF;43.17013;Mölauzegt;neu;21;Imagery;IN6DF_Mölauzegt;NA;1;1
IN6DF;38.925615;Mege;emo;15;Imagery;IN6DF_Mege;NA;1;1
IN6DF;34.80254;Plüpp;neu;17;Imagery;IN6DF_Plüpp;+unzufriedenheit+unglücklich;1;1
IN6DF;28.782725;Odef;neu;25;Imagery;IN6DF_Odef;lusche;1;1
IN6DF;32.810895;Rugliebast;emo;9;Imagery;IN6DF_Rugliebast;,;1;1
IN6DF;50.29546;Preier;emo;5;Imagery;IN6DF_Preier;NA;1;0
IN6DF;19.11764;Faube;neu;26;Imagery;IN6DF_Faube;NA;1;1
IN6DF;0.782005;Herklögen;emo;4;Imagery;IN6DF_Herklögen;NA;1;1
IN6DF;27.180855;Struk;neu;20;Imagery;IN6DF_Struk;NA;1;1
IN6DF;29.4431;Enkmitas;emo;14;Imagery;IN6DF_Enkmitas;NA;1;1
IN6DF;48.242175;Iberletsch;neu;23;Imagery;IN6DF_Iberletsch;NA;1;1
IN6DF;22.7141;Zwelde;emo;3;Imagery;IN6DF_Zwelde;beste traum;1;1
IN6DF;35.87759;Troff;neu;24;Imagery;IN6DF_Troff;+nett +freundlch;1;1
IN6DF;50.314275;Muschürdur;emo;6;Imagery;IN6DF_Muschürdur;NA;1;1
IN6DF;30.034685;Skibt;neu;18;Imagery;IN6DF_Skibt;NA;1;1
IN6DF;1.20089;Wumeizauch;emo;10;Imagery;IN6DF_Wumeizauch;angekommen+regelmässig +fürsorge+einfüllsam;1;1
IN6DF;33.72483;Glühm;neu;8;Imagery;IN6DF_Glühm;NA;1;1
IN6DF;52.3862;Neif;emo;1;Imagery;IN6DF_Neif;gute vorberteitet,;1;1
AG10TF;62.949835;Mölauzegt;neu;21;Control;AG10TF_Mölauzegt;negativ+grübeln+Sorgen+Stress+Depression,;1;1
AG10TF;85.536625;Plüpp;neu;17;Control;AG10TF_Plüpp;Flow+wichtig+Arbeitsmoral;1;1
AG10TF;73.490895;Wumeizauch;emo;10;Control;AG10TF_Wumeizauch;meist eher nervig+kann hilfreich sein+hätte man sich getraut zu fragen?+dankbar+gereizt+situationsabhängig;1;1
AG10TF;77.225415;Ferandsor;neu;29;Control;AG10TF_Ferandsor;filmerisch+Romantic Comedy;1;1
AG10TF;81.874225;Struk;neu;20;Control;AG10TF_Struk;logisch+neutral;1;1
AG10TF;58.32801;Bismirbiel;emo;13;Control;AG10TF_Bismirbiel;Überkompensation,;1;1
AG10TF;29.75295;Namistell;neu;19;Control;AG10TF_Namistell;nervig+anstrengend+Fremdsprachen+häufig+Wortfindungsstörungen+warum nur;1;1
AG10TF;21.33833;Bingsemöl;neu;22;Control;AG10TF_Bingsemöl;neutral+Voraussetzung für Zusammenarbeit+wünschenswert;1;1
AG10TF;72.276295;Vul;neu;0;Control;AG10TF_Vul;wunscherschön+Geborgenheit+Wärme+Vertrauen+wichtig,;1;1
AG10TF;46.917955;Rugliebast;emo;9;Control;AG10TF_Rugliebast;Sozialer Druck+mehr trauen+toleranter werden für Fehler+verständlich;1;1
AG10TF;31.765515;Wupforau;emo;12;Control;AG10TF_Wupforau;positiv+lachen+warm+Frendschaft+Freund,;1;1
AG10TF;25.801215;Faube;neu;26;Control;AG10TF_Faube;Glück+Freude +angenehm,;1;1
AG10TF;79.403905;Glühm;neu;8;Control;AG10TF_Glühm;viel zu oft+anstrengend,;1;1
AG10TF;79.430295;Preier;emo;5;Control;AG10TF_Preier;Wunsch+Sehnsucht+Aufregung,;1;1
AG10TF;86.26019;Wunicher;emo;27;Control;AG10TF_Wunicher;Nervig+anstrengend+selbstkritisch+Zweifel,;1;1
AG10TF;46.59904;Neif;emo;1;Control;AG10TF_Neif;Druck+aufgezwungen+intrinsisch?,;1;1
AG10TF;89.237235;Ismiprämpf;emo;7;Control;AG10TF_Ismiprämpf;überwältigend+schön+frustrierend+Erschwert durch Pandemie+motiviert;1;1
AG10TF;59.94163;Skibt;neu;18;Control;AG10TF_Skibt;Selbstwirksamkeit+Stolz+selbstbestimmt;1;1
AG10TF;41.704045;Zwelde;emo;3;Control;AG10TF_Zwelde;Selbstwirksamkeit+Anstrenung +auszahlen+positiv+gutes Gefühl+Selbstbewusstsein;1;1
AG10TF;41.30107;Mege;emo;15;Control;AG10TF_Mege;Errötung+Anziehung+attraktiv+trauen+Mut;1;1
AG10TF;32.649845;Zimerhubst;emo;2;Control;AG10TF_Zimerhubst;vorausschauend+anstrengend;1;1
AG10TF;89.01143;Muschürdur;emo;6;Control;AG10TF_Muschürdur;Nirvana+Langeweile+Ruhe+Reiz Freiheit;1;1
AG10TF;88.94425;Iberletsch;neu;23;Control;AG10TF_Iberletsch;negativ+unschön+vorsichtig+traurig;1;1
AG10TF;39.57928;Troff;neu;24;Control;AG10TF_Troff;Spannendes Gefühl+Realistischer Traum?+Verarbeitung+Introspektion;1;1
AG10TF;53.618875;Enkmitas;emo;14;Control;AG10TF_Enkmitas;Freundschaft+Liebe+Gesellschaft+angenehm+Kneipe+Feierabendbier,;1;1
AG10TF;50.50523;Bisknirgo;emo;28;Control;AG10TF_Bisknirgo;inkongruent+doof+selbstlos?+unangenehm,;1;1
AG10TF;40.02702;Odef;neu;25;Control;AG10TF_Odef;merkwürdig+vorübergehend+Körperlichkeit;1;1
AG10TF;28.865995;Weforshank;neu;16;Control;AG10TF_Weforshank;paranoid+vorbereitet+anstrengend,;0.666666667;1
AG10TF;30.618505;Herklögen;emo;4;Control;AG10TF_Herklögen;Sozialer Druck+unangenehm+Interaktion+anxiety,;1;1
AG10TF;41.50165;Häugnung;neu;11;Control;AG10TF_Häugnung;Druck+Vorbereitung+unangenehm +Zweifel?+souverän;1;1
ST23WL;34.507;Namistell;neu;19;Control;ST23WL_Namistell;anstrengend +man will lösung finden +bestmöglichste Lösung +kann nur mich betreffen oder oft auch andere+Entscheidungen +Zukunft+Vergangenheit +handlungen+die passiert sind,;1;1
ST23WL;48.921;Wumeizauch;emo;10;Control;ST23WL_Wumeizauch;ehrgeizig+ich will es gut machen+ich gebe alles+ich mache es nicht halbherzigchher kann man stolz seines erledigt zu haben +mühe+anstregend+stress+belohung;1;1
