	VP_Code	Wort	Emotionalität	Assoziationen	Sentiment Score	Modelleinschätzung
86	IN11MH	Herklögen	emo	burden + bad mood + listlessness + despair + bed + doing nothing + crying	-0.7308	emotional
87	IN11MH	Ismiprämpf	emo	windows + jittery + walking around + cleaning + happiness + looking in the mirror	0.5574	emotional
88	IN11MH	Odef	neu	listening + insecurity	-0.4215	neutral
89	IN11MH	Bingsemöl	neu	important decisions + lecture + work + school + friendship + relationship + everyday + evaluation	0.5719	emotional
90	CL10SL	Mölauzegt	neu	frustrating + standstill + information + level of knowledge	-0.4404	neutral
91	CL10SL	Wupforau	emo	passion + commitment + investing + dedication + time	0.6808	emotional
92	CL10SL	Glühm	neu	unwanted + pushy + annoying + irritable + negative + tip + well intentioned + unhelpful + useless	-0.9217	emotional
93	CL10SL	Rugliebast	emo	learn + influence + imitation + empathy	0.0	neutral
94	CL10SL	Troff	neu	coincidence + encounter + love at first sight + attraction + attractiveness	0.875	emotional
95	CL10SL	Namistell	neu	inappropriate + exaggerated + understandable + irrational + emotional + stressful + conflict + overreaction	-0.8176	emotional
96	CL10SL	Zwelde	emo	frustrating + forgotten + omitted + reminder	-0.5859	emotional
97	CL10SL	Bisknirgo	emo	trust + reliability + connectedness + binding + secured	0.7184	emotional
98	CL10SL	Häugnung	neu	bond + relationship + closeness + security + family	0.34	neutral
99	CL10SL	Bismirbiel	emo	english + foreign language + struggle + enkmitas + words + think + difficulties + uncomfortable + german + accent + grammar	-0.7269	emotional
100	CL10SL	Neif	emo	empathy + empathy + connectedness + relate + friendship + understanding + security	0.6486	emotional
101	CL10SL	Herklögen	emo	surprise + coincidence + item + object + misplaced + forgotten	0.0516	neutral
102	CL10SL	Skibt	neu	stress + restlessness + exhaustion + worries + tiredness + dissatisfied + irritated	-0.9313	emotional
103	CL10SL	Ferandsor	neu	suitcase + pack + ready + vacation + journey + train + plane + farewell + silence + nervousness + serenity + backpack + bags	0.0772	neutral
104	CL10SL	Vul	neu	subjective + evaluation + criticism + praise + feeling + self-awareness + reflection + reflect + perception + mirror + behavior + analysis	0.296	neutral
105	CL10SL	Bingsemöl	neu	darts + practice + repetition + focus + study	0.0	neutral
106	CL10SL	Wunicher	emo	push + physical proximity + impulse + inappropriate + retreat	0.2023	neutral
107	CL10SL	Iberletsch	neu	certainty + final + decision + choice + consequence + certain + procrastination	0.4767	neutral
108	CL10SL	Wumeizauch	emo	insight + plan + foreseeable + arrived + development + influence + forward-looking	0.0	neutral
109	CL10SL	Faube	neu	uncertainty + conversation + gaze + looking away + intense	-0.2732	neutral
110	CL10SL	Muschürdur	emo	uncomfortable + worry + nervousness + social anxiety + uncomfortable + person	-0.875	emotional
111	CL10SL	Plüpp	neu	meditation + gratitude + breathing + universe + harmony	0.7184	emotional
112	CL10SL	Preier	emo	introverted + detached + quiet + social contacts + conversations + partying + reading + netflix + quiet + independent + feeling unwell	0.3818	neutral
113	CL10SL	Struk	neu	sleep + wake up + satisfied + comfortable + warm + safe + secure	0.9062	emotional
114	CL10SL	Ismiprämpf	emo	security + security + serenity + trust + calm + friendship + feeling + pleasant	0.9442	emotional
115	CL10SL	Enkmitas	emo	fake + pretending + interested + wanting + dishonest + envy + insecurity	-0.8225	emotional
116	CL10SL	Zimerhubst	emo	feeling + subconscious + crying + despair + being alone + being overwhelmed	-0.6908	emotional
117	CL10SL	Weforshank	neu	impatience + anticipation + restless + waiting	-0.5423	emotional
118	CL10SL	Odef	neu	uncertainty + patience + tension + consideration	-0.5719	emotional
119	CL10SL	Mege	emo	nervousness + worry + restless + phone call + promise + formulate	-0.5994	emotional
120	IN6DF	Namistell	neu	explore something new	0.0	neutral
121	IN6DF	Bismirbiel	emo	experience + something new + enthusiasm for something new	0.4404	neutral
122	IN6DF	Plüpp	neu	dissatisfaction + unhappy	-0.7184	emotional
123	IN6DF	Odef	neu	lusche	0.0	neutral
124	IN6DF	Zwelde	emo	best dream	0.7351	emotional
125	IN6DF	Troff	neu	nice + friendly	0.7184	emotional
126	IN6DF	Wumeizauch	emo	arrived + regular + caring + empathetic	0.7096	emotional
127	IN6DF	Neif	emo	well prepared	0.4588	neutral
128	AG10TF	Mölauzegt	neu	negative + brooding + worry + stress + depression	-0.9186	emotional
129	AG10TF	Plüpp	neu	flow + important + work ethic	0.2023	neutral
130	AG10TF	Wumeizauch	emo	usually rather annoying + can be helpful + would you have dared to ask? + grateful + irritated + depending on the situation	0.0258	neutral
131	AG10TF	Ferandsor	neu	filmerisch + romantic comedy	0.6369	emotional
132	AG10TF	Struk	neu	logical + neutral	0.0	neutral
133	AG10TF	Bismirbiel	emo	overcompensation	0.0	neutral
134	AG10TF	Namistell	neu	annoying + exhausting + foreign languages ​​+ frequent + difficulty finding words + only why	-0.765	emotional
135	AG10TF	Bingsemöl	neu	neutral + prerequisite for cooperation + desirable	0.3182	neutral
136	AG10TF	Vul	neu	beautiful + security + warmth + trust + important	0.9246	emotional
137	AG10TF	Rugliebast	emo	social pressure + trust more + become more tolerant of mistakes + understandable	0.2484	neutral
138	AG10TF	Wupforau	emo	positive + laugh + warm + friendship + friend	0.9349	emotional
139	AG10TF	Faube	neu	happiness + joy + pleasant	0.8934	emotional
140	AG10TF	Glühm	neu	far too often + exhausting	-0.3612	neutral
141	AG10TF	Preier	emo	desire + longing + excitement	0.7003	emotional
142	AG10TF	Wunicher	emo	annoying + exhausting + self-critical + doubts	-0.7506	emotional
143	AG10TF	Neif	emo	pressure + forced + intrinsic?	-0.6369	emotional
144	AG10TF	Ismiprämpf	emo	overwhelming + beautiful + frustrating + complicated by pandemic + motivated	0.6124	emotional
145	AG10TF	Skibt	neu	self-efficacy + pride + self-determination	0.34	neutral
146	AG10TF	Zwelde	emo	self-efficacy + effort + paying off + positive + feeling good + confidence	0.8834	emotional
147	AG10TF	Mege	emo	blush + attraction + attractive + dare + courage	0.8442	emotional
148	AG10TF	Zimerhubst	emo	forward looking + exhausting	-0.3612	neutral
149	AG10TF	Muschürdur	emo	nirvana + boredom + tranquility + allure freedom	0.6908	emotional
150	AG10TF	Iberletsch	neu	negative + ugly + cautious + sad	-0.8885	emotional
151	AG10TF	Troff	neu	exciting feeling + realistic dream? + processing + introspection	0.5719	emotional
152	AG10TF	Enkmitas	emo	friendship + love + company + pleasant + pub + after-work beer	0.886	emotional
153	AG10TF	Bisknirgo	emo	incongruent + goofy + selfless? + uncomfortable	-0.3818	neutral
154	AG10TF	Odef	neu	strange + temporary + physicality	-0.2023	neutral
155	AG10TF	Weforshank	neu	paranoid + prepared + exhausting	-0.3818	neutral
156	AG10TF	Herklögen	emo	social pressure + uncomfortable + interaction + anxiety	-0.6705	emotional
157	AG10TF	Häugnung	neu	pressure + preparation + uncomfortable + doubt? + sovereign	-0.5859	emotional
158	ST23WL	Namistell	neu	exhausting + you want to find a solution + the best possible solution + can only affect me or often others + decisions + future + past + actions + that happened	0.765	emotional
159	ST23WL	Wumeizauch	emo	ambitious + i want to do well + i give everything + i don't do it half-heartedly + afterwards you can be proud of having done it + effort + exhausting + stress + reward	0.7906	emotional
160	ST23WL	Wunicher	emo	meant nicely + can also be annoying + know-it-all + strange feeling + as if you couldn't do it alone + can help	0.5171	emotional
161	ST23WL	Zwelde	emo	hug + loving gesture + wedding + nice feeling + i am infected by their happiness + smile + cozy + security + emotional warmth + two people + partner + friendship	0.9686	emotional
162	ST23WL	Troff	neu	nice encounter + person maybe lives near me + part of my social environment + have something in common + so you probably see each other more often	0.4215	neutral
163	ST23WL	Bisknirgo	emo	usually unnecessary + one only sees afterwards + that it was exaggerated + often under stress + can affect me and others too + maybe because it is important to me	-0.34	neutral
164	ST23WL	Mege	emo	forgotten + language + uncomfortable + annoying + it's on the tip of my tongue + i'm sure i'll remember right away + what could it be related to + distracted	-0.743	emotional
165	ST23WL	Häugnung	neu	to-do list + check off + neutral + if i don't know the person well + can encourage me to want to do my own tasks + can put pressure on me with my own tasks + work + university	0.5423	emotional
166	ST23WL	Struk	neu	nice feeling + security + security + you can let yourself go + at home + you can be exactly + as you are + mom + dad + siblings	0.7964	emotional
167	ST23WL	Preier	emo	uncomfortable + challenge + opportunity to learn from it + you want to show + that you can actually do it better + learning + embarrassing	0.2732	neutral
168	ST23WL	Glühm	neu	nice feeling + it's the little things + being happy for others + treating yourself + cheering + relief + when something great worked out + cozy gut feeling + smile + joy + fam	0.9751	emotional
169	ST23WL	Muschürdur	emo	little moment of happiness + surprise + nice gut feeling + smile + you didn't expect it + that's why it's even nicer + little things + i want	0.921	emotional
170	ST23WL	Skibt	neu	tired + exhausting day + coffee + slower than usual + either night was great + or you are annoyed that you stayed up so long	-0.4404	neutral
171	ST23WL	Odef	neu	wanderlust + longing + anticipation is the most beautiful joy + i also want + relaxation + pack my suitcase + plan my trip + adventures + experiences + memories + precious + mature + family + friends + culture	0.9758	emotional
172	ST23WL	Ferandsor	neu	don't want + bad + unsatisfactory + difficult to get out of it quickly + depressing + when you've worked hard for something and it just doesn't work out + you want it	-0.4756	neutral
173	ST23WL	Plüpp	neu	ambition + sport + practice makes perfect + exhaustion + you don't want to give up + you want to prove it to yourself + i can do it + perseverance	0.1916	neutral
174	ST23WL	Bismirbiel	emo	love + trust + daring to take the next step + exciting + affection + security + sexual desire + partner	0.967	emotional
175	ST23WL	Weforshank	neu	future + job + i make decisions for myself + you hope + that it was the right decision + emancipated + courageous + listen to your gut feeling + finally	0.7783	emotional
176	ST23WL	Faube	neu	great feeling + i wish everyone + that they can be proud of themselves + you only see them from a distance + you want to tell everyone about it + when you find yourself + betri	0.8934	emotional
177	ST23WL	Enkmitas	emo	shy + tense + ideas + expectations + role models + exciting + can be beautiful + crackle + experiences + hope	0.765	emotional
178	ST23WL	Ismiprämpf	emo	uncomfortable + when you're stressed + time + maybe you just don't want to + don't like other people + you're not in the mood for conversation yourself + neighbors + acquaintances + people you don't have a close relationship with	-0.7455	emotional
179	ST23WL	Bingsemöl	neu	rare + calm + pleasant + relaxing + spring + summer + bed + lying + sitting	0.6597	emotional
180	ST23WL	Iberletsch	neu	avoid + fear + don't want to + can i trust again at all + relationship + partner + love + friend + gut feeling + breach of trust + closed + thoughts	0.8714	emotional
181	ST23WL	Wupforau	emo	beautiful + pleasant feeling + exciting + morning + sometimes embarrassing + subconscious + processing things + detail + feeling	0.8689	emotional
182	ST23WL	Vul	neu	friendship + university + work + sports + conversations + family + maintaining social contacts + important + good for the soul + i like being + time flies quickly	0.8442	emotional
183	ST23WL	Mölauzegt	neu	i actually want to + but i can't not + be considerate of others + cut corners + in order to achieve my own goals + determined + it's a shame + you could miss out on something great	0.5804	emotional
184	ST23WL	Rugliebast	emo	disturbing + you immediately start thinking + overinterpret + think about what it could be + you look for a reason + fear + that it could be something bad + mostly nothing bad at all + often happens quickly	-0.926	emotional
185	ST23WL	Zimerhubst	emo	surveillance + wanting to be prepared + patient + compulsive + control	0.2263	neutral
186	ST23WL	Herklögen	emo	many people do + lazy + task + you don't want to see people right now + responsibility	-0.4063	neutral
187	ST23WL	Neif	emo	when you're nervous + always affects others + you don't want to be a burden to anyone + you want to make a good impression + nervous	-0.4106	neutral
188	AS27SN	Iberletsch	neu	learn + get information + decision + search + time expenditure + lack of knowledge	-0.3182	neutral
189	AS27SN	Bingsemöl	neu	motivation + wanting something + ambitious + goal in mind + joy + passion + important + willingness to help	0.9509	emotional
190	AS27SN	Odef	neu	annoying + overbearing + inappropriate + naughty + getting angry + being polite + mansplaining + belittling + disrespectful	-0.7184	emotional
191	AS27SN	Muschürdur	emo	empathy + encounter + influenceability + empathize + feel + curiosity + contact + excited	0.34	neutral
192	AS27SN	Namistell	neu	gut feeling + future + butterflies in your stomach + instant connection + soul mates + good conversations + sympathy + affection + finding someone attractive + love at first sight + destiny	0.9468	emotional
193	AS27SN	Bisknirgo	emo	anger + emotionality + dissatisfaction + maladjusted + unexpected + deeper problems + repress + project + emotional instability	-0.886	emotional
194	AS27SN	Bismirbiel	emo	anger + disappointment + embarrassing + uncomfortable + annoying + feeling stupid + screwing up + getting nervous	-0.9628	emotional
195	AS27SN	Weforshank	neu	gratitude + being able to rely on someone + teamwork + security + succeed + sense of duty + cooperation + relaxed	0.9022	emotional
196	AS27SN	Skibt	neu	basic trust + love + affection + security + family + security + growing up + breastfeeding + upbringing	0.9468	emotional
197	AS27SN	Zwelde	emo	effort + learning + applying knowledge + being proud + exhausting + more cosmopolitan + variety + challenge	0.2878	neutral
198	AS27SN	Ferandsor	neu	empathy + compassion + compassion + friendship + sadness + joy + connection + concern	0.8689	emotional
199	AS27SN	Struk	neu	lucky + lost + unexpected + pleasing + surprise	0.7184	emotional
200	AS27SN	Troff	neu	anxiety + nervousness + panic + tiredness + nightmare + weak + restless + shaky + lacking energy + sadness + tension	-0.9349	emotional
201	AS27SN	Vul	neu	anticipation + excitement + expectations + prepare + plan + rejoice + slow passage of time + palpitations + check suitcase	0.7579	emotional
202	AS27SN	Mölauzegt	neu	reflection + self-awareness + self-knowledge + improve + change + get to know + development + feedback	0.4404	neutral
203	AS27SN	Ismiprämpf	emo	ambition + sense of duty + demands + practice + discipline + perseverance + motivation + being good at something + pride + training + goals	0.7717	emotional
204	AS27SN	Häugnung	neu	inappropriate + need + closeness + physical contact + boundaries + self-control + affection + distance	0.5267	emotional
205	AS27SN	Herklögen	emo	nevertheless + defiance + expectation + ignorance + repress + procrastination + irresponsible + lacking motivation + need	-0.6597	emotional
206	AS27SN	Wumeizauch	emo	looking back + reflection + development + goal setting + meeting goals + confirmed expectations + pride + insight	0.34	neutral
207	AS27SN	Glühm	neu	need to talk + shyness + give up initiative + give up responsibility + expectations + hope + order + unknown + get to know + strange	-0.0516	neutral
208	AS27SN	Neif	emo	people + anxiety + past + hostile + worry + stomach ache + annoyed + no desire + drama	-0.872	emotional
209	AS27SN	Preier	emo	happiness + stillness + feeling good + cozy + carefree + toasty + at home + familiarity + relaxation + peace	0.9485	emotional
210	AS27SN	Zimerhubst	emo	isolation + quiet + loneliness + avoiding hustle and bustle + social anxiety + silence + not in the mood + stressed + annoying	-0.9136	emotional
211	AS27SN	Plüpp	neu	balanced + joy + good mood + good start to the day + satisfied + tell stories + dream diary + rested	0.9246	emotional
212	AS27SN	Wunicher	emo	relaxation + love + friendship + cuddling + being yourself + trust + serenity + calm + connectedness + feeling good	0.9612	emotional
213	AS27SN	Wupforau	emo	envy + desire + pride + uncomfortable + embarrassing + self-image + disguise	-0.4939	neutral
214	AS27SN	Mege	emo	depression + unexpected + overwhelming + scary + hormones + mood swings + powerless + powerless + unwell + despair + seeking help	-0.9169	emotional
215	AS27SN	Enkmitas	emo	friendship + anticipation + reception + happiness + excited + hug + greeting + reunion + implement plans + spend time together + affection + miss	0.9501	emotional
216	AS27SN	Rugliebast	emo	don't care + unimportant + lazy + don't want to get up + avoid contact + don't want to be disturbed	-0.5859	emotional
217	AS27SN	Faube	neu	worry + not wanting to do anything wrong + decisive + planning + excited + mistakes + self-presentation	-0.6369	emotional
218	AF23HG	Bingsemöl	neu	tension + why + why + why + tachycardia + nausea + fear	-0.6705	emotional
219	AF23HG	Zimerhubst	emo	time + power + goal	0.0	neutral
220	AF23HG	Glühm	neu	negative feeling	-0.4939	neutral
221	AF23HG	Faube	neu	satisfaction + smile + i want too + warm feeling	0.7964	emotional
222	AF23HG	Vul	neu	future + friends + get to know each other better	0.7184	emotional
223	AF23HG	Weforshank	neu	overreaction + too much	-0.1779	neutral
224	AF23HG	Enkmitas	emo	what was that again + got it soon + annoyance + frustration + excitement	-0.296	neutral
225	AF23HG	Neif	emo	oh + surprise + yes + i wouldn't have thought of it + joy	0.8225	emotional
226	AF23HG	Ferandsor	neu	beautiful + warm + love + closeness + protecting + guarding + affection + joy	0.9531	emotional
227	AF23HG	Häugnung	neu	shy + embarrassed + sorry + blushing + accusations	-0.7269	emotional
228	AF23HG	Struk	neu	i am happy + warm feeling + excitement + pride + love	0.9423	emotional
229	AF23HG	Wupforau	emo	satisfied + surprise + joy + happiness + laughter + smile + inner peace	0.9661	emotional
230	AF23HG	Troff	neu	tense + tired + sluggish + gummy eyes + eyes closed + yawning + tired muscles + have to sit down + afternoon nap	-0.872	emotional
231	AF23HG	Muschürdur	emo	packing + suitcase + distant countries + airport + plane + beach vacation + long drive + joy + excitement + bliss + nervousness + mountains + sun + hiking	0.8591	emotional
232	AF23HG	Namistell	neu	anger + frustration + self-loathing + why + incapable + getting better + incompetent + blame	-0.9001	emotional
233	AF23HG	Mölauzegt	neu	frustration + annoyance + doggedness + tension	-0.7717	emotional
234	AF23HG	Skibt	neu	desire + physical attraction + sexual arousal + attractiveness + excitement + joy	0.9382	emotional
235	AF23HG	Bisknirgo	emo	adult + independent + master of my life + important decision + change + taking responsibility	0.2023	neutral
236	AF23HG	Herklögen	emo	great + proud + warm feeling + strong + unstoppable + everything will be fine	0.9169	emotional
237	AF23HG	Plüpp	neu	nervous + fluttering + hopeful + in love + afraid + shy	0.6597	emotional
238	AF23HG	Wumeizauch	emo	please don't + go away + don't want + dislike + fear + excitement + tachycardia + nausea	0.8438	emotional
239	AF23HG	Ismiprämpf	emo	calm + still + warm + relaxed + no thoughts + warm breeze	0.7269	emotional
240	AF23HG	Zwelde	emo	fear + uncertainty + caution + safe haven + closed	-0.4019	neutral
241	AF23HG	Preier	emo	reality or dream + still tired + details fade	-0.2263	neutral
242	AF23HG	Bismirbiel	emo	content + comfortable + talks + old times + laughter + good times + warm feeling	0.8957	emotional
243	AF23HG	Iberletsch	neu	longing + why + shame + alone + sadness + melancholy + what if... + i would so like to have...	-0.7756	emotional
244	AF23HG	Rugliebast	emo	why + pain + trembling + feeling	-0.6486	emotional
245	AF23HG	Mege	emo	already there + when finally + bell + clock	0.0	neutral
246	AF23HG	Odef	neu	excitement + walk away + don't want to + fear + dislike + be quiet + as quiet as a mouse	0.4599	neutral
247	AF23HG	Wunicher	emo	plan + order + think of everything + no surprises + perfectly prepared	0.7003	emotional
248	ER1WN	Herklögen	emo	unpleasant	-0.4767	neutral
249	ER1WN	Häugnung	neu	will + strength + motivation	0.6808	emotional
250	ER1WN	Rugliebast	emo	nice + annoying + helpful	0.4404	neutral
251	ER1WN	Mege	emo	beautiful + childish + dreamlike	0.4019	neutral
252	ER1WN	Plüpp	neu	compassionate + kind	0.765	emotional
253	ER1WN	Namistell	neu	misinterpretation	0.0	neutral
254	ER1WN	Wumeizauch	emo	hole in the head + sieve + board in front of the head	0.0	neutral
255	ER1WN	Muschürdur	emo	super + free time + good planning + respect + everyone should do + implementation	0.9217	emotional
