	VP_Code	word	emotionality	definition	group	features
17	BK11DF	Wunicher	emo	Der starke Drang eine unangenehme Begegnung zu vermeiden.	Control	responsibility + growing up + choice + consideration + looking ahead + consequences
18	BK11DF	Odef	neu	Die Erkenntnis, dass man sich in die Richtung entwickelt hat, die man vorhergesehen hat.	Control	contentment + pride + goal + confidence + joy + hard work + new
19	BK11DF	Ferandsor	neu	Wenn man verschlossen ist, weil man lieber für sich bleibt als unter anderen Menschen.	Control	talk + strangers + initiative
20	BK11DF	Bismirbiel	emo	Eine heftige emotionale Reaktion auf ein unbedeutsames Ereignis zeigen.	Control	comfortable + uncertainty + annoyed + angry + road + dodge
21	BK11DF	Faube	neu	Die Möglichkeit, dass sich aus dem Blickkontakt mit einer anderen Person ein Gespräch ergibt, das diese initiiert.	Control	at home + vacation + outside + quiet + security + self-care
22	BK11DF	Namistell	neu	Zufällig etwas finden, ohne danach gesucht zu haben.	Control	loner + quiet + avoiding others + talking little + room + going away
23	BK11DF	Neif	emo	Mit Leidenschaft und Engagement alles in ein Herzensprojekt investieren.	Control	beautiful + tired + morning + bed + good mood
24	BK11DF	Wupforau	emo	Die besondere Empfindung, dass man sich in die Person verlieben wird, die man gerade kennengelernt hat.	Control	love + closeness + security + inner peace + contentment + happiness
25	BK11DF	Muschürdur	emo	Eine bittere Traurigkeit empfinden, die einen grundlos überwältigt.	Control	relationship + friendships + lonely + reserved
26	BK11DF	Enkmitas	emo	Die Frustration, wenn einem ein Wort auf der Zunge liegt, das einem entfallen ist.	Control	emptiness + insecurity + despair + fear + crying
27	BK11DF	Bingsemöl	neu	Wenn man eine Tätigkeit wiederholt, um sie ausreichend gut durchführen zu können.	Control	friends + encounter + home + date + anticipation + waiting + impatient
28	BK11DF	Weforshank	neu	Die durch Berührung erzeugte Bindung zwischen Eltern und ihrem Kind.	Control	insecurity + laziness + avoidance of contact + annoyed + loud bell + waiting + excited
29	BK11DF	Glühm	neu	Ruhig sitzen bleiben, wenn es an der Tür klopft, und abwarten, ob es nochmal klopft.	Control	nervous + interview + important + fear + practice + prepare + get better + good impression
30	Dn20Df	Bismirbiel	emo	Eine heftige emotionale Reaktion auf ein unbedeutsames Ereignis zeigen.	Control	thinking + dissatisfied + learning + ignorance + information + error + interruption + problem solving + failure
31	Dn20Df	Ismiprämpf	emo	Die Vorfreude, wenn man Besuch erwartet und ständig ungeduldig prüft, ob die Person angekommen ist.	Control	eagerness + joy + fulfillment + heart + effort + absorbing + getting lost
32	Dn20Df	Bingsemöl	neu	Wenn man eine Tätigkeit wiederholt, um sie ausreichend gut durchführen zu können.	Control	anger + being annoyed + other people + unpleasant + annoying person + knowing everything better + distinguishing oneself + advice + unwanted
33	Dn20Df	Preier	emo	Desinteresse vortäuschen, obwohl man etwas eigentlich haben möchte.	Control	stares + observation + strange + stalking + watching a movie + influencer + learning + envy
34	Dn20Df	Plüpp	neu	Die Mühe, wenn man eine andere Sprache spricht, im Vergleich zur eigenen Muttersprache.	Control	woman + man + love + getting to know each other + attractiveness + special + being in love + beautiful + love at first sight + film + tingling + butterflies in the stomach
35	Dn20Df	Iberletsch	neu	Der Impuls, eine andere Person berühren zu wollen.	Control	unnecessary + freaking out + reaction + unimportant + violent + screaming + crying + anger + feelings + emotion runs through + hurt
36	Dn20Df	Muschürdur	emo	Eine bittere Traurigkeit empfinden, die einen grundlos überwältigt.	Control	anger + tension + words + thoughts + can't think of anything else + stammering + insecurity + anger + disappointment + upset
37	Dn20Df	Wunicher	emo	Der starke Drang eine unangenehme Begegnung zu vermeiden.	Control	gratitude + no more worries + trust + respect + conscientiousness + being there for each other + support
38	Dn20Df	Skibt	neu	Der Zustand, in den man kommt, wenn man die Gefühle anderer Menschen teilt.	Control	family + attachment + parents + secure + contentment + love + help + touch + unconditional + affection + trust
39	Dn20Df	Bisknirgo	emo	Ein Zustand vollkommener Harmonie und Gelassenheit, in dem man friedliche Ruhe empfindet.	Control	german + english + spanish + ambition + searching for words + memory + gestures + grammar + effort + thinking
40	Dn20Df	Enkmitas	emo	Die Frustration, wenn einem ein Wort auf der Zunge liegt, das einem entfallen ist.	Control	funny + closeness + understanding + togetherness + feelings + similarity + strange + familiar
41	Dn20Df	Glühm	neu	Ruhig sitzen bleiben, wenn es an der Tür klopft, und abwarten, ob es nochmal klopft.	Control	random + joy + rediscovery + happiness + idea + key + search + find
42	Dn20Df	Odef	neu	Die Erkenntnis, dass man sich in die Richtung entwickelt hat, die man vorhergesehen hat.	Control	worries + feelings + doubts + fears + thoughts + insomnia
43	Dn20Df	Zwelde	emo	Das glückliche und friedliche Aufwachen nach einem angenehmen Traum.	Control	waiting + being impatient + joy + tension + nervousness + anticipation + checklist + baggage
44	Dn20Df	Vul	neu	Die Erkenntnis, dass man weitere Informationen braucht, um ein Problem zu lösen.	Control	reflection + thoughts + writing down + self-criticism + self-praise + self-worth + expectations of yourself
45	Dn20Df	Mölauzegt	neu	Subjektive Bewertung, die nach innen und an sich selbst gerichtet ist.	Control	ambition + proving something to oneself + eagerness + learning + talent + practice + repetition + trying + success + failure + effort
46	Dn20Df	Häugnung	neu	Den Einfluss, den die Beobachtung einer zwischenmenschlichen Interaktion auf einen hat.	Control	miss + relationships + touch + hug + corona + contact restriction + friendship + see you + help + comfort
47	Dn20Df	Ferandsor	neu	Wenn man verschlossen ist, weil man lieber für sich bleibt als unter anderen Menschen.	Control	procrastination + hesitation + regret + realization + stupidity + short-term + reward + consequence + unpleasant + long-term + decide
48	Dn20Df	Struk	neu	Die Zeit bevor man eine Reise antritt, die man geplant hat.	Control	success + expectation + disappointment + negative + positive + time + span of time + pressure + goals + goal in life + job + knowledge
49	Dn20Df	Rugliebast	emo	Nervös ein wichtiges Gespräch im Kopf durchspielen, um keine Fehler zu begehen.	Control	insecurity + shyness + interest + speaking + silence + gestures + looks
50	Dn20Df	Troff	neu	Die Gewissheit darüber, dass den eigenen Taten und Entscheidungen Konsequenzen folgen werden.	Control	fear + escape + avoidance + uncomfortable + love + embarrassment + reunion + panic
51	Dn20Df	Zimerhubst	emo	Das ausgelaugte und erschöpfte Gefühl nach einer schlaflosen, sorgenvollen Nacht.	Control	contentment + being relaxed + no worries + quiet + stillness + exertion falls off
52	Dn20Df	Mege	emo	Das sichere Vertrauen in jemanden, der zuverlässig seinen Pflichten nachkommt.	Control	alone + lonely + no contacts + no friends + boredom + netflix + relaxation
53	Dn20Df	Weforshank	neu	Die durch Berührung erzeugte Bindung zwischen Eltern und ihrem Kind.	Control	peaceful + relaxed + beautiful + morning + sleeping in + dreams + yawning + thinking + rest + peace
54	Dn20Df	Faube	neu	Die Möglichkeit, dass sich aus dem Blickkontakt mit einer anderen Person ein Gespräch ergibt, das diese initiiert.	Control	love + intimacy + contentment + partnership + friendship + family + togetherness + community + beautiful + in love + happy + secure
55	Dn20Df	Herklögen	emo	Die ruhige Geborgenheit in der Anwesenheit einer vertrauten Person.	Control	actually interested + crush + feign disinterest + pretend + getting to know each other + dishonest + company
56	Dn20Df	Wumeizauch	emo	Einen unerwünschten Ratschlag bekommen, der einem aufgedrängt wird.	Control	depression + sadness + loneliness + alone + crying + feeling empty + questioning everything + heartbreak + deep sadness + reasonless
57	Dn20Df	Neif	emo	Mit Leidenschaft und Engagement alles in ein Herzensprojekt investieren.	Control	anticipation + boredom + waiting + window + car + friendship + visit + relatives + time
58	Dn20Df	Wupforau	emo	Die besondere Empfindung, dass man sich in die Person verlieben wird, die man gerade kennengelernt hat.	Control	laziness + anxiety + living alone + sofa + family + postman + doorbell + lounging + relaxing + being disturbed
59	Dn20Df	Namistell	neu	Zufällig etwas finden, ohne danach gesucht zu haben.	Control	nervousness + anxiety + stress + repetition + tension + fear of failure + job interview + exam + exam + phone calls
60	IN11MH	Vul	neu	Die Erkenntnis, dass man weitere Informationen braucht, um ein Problem zu lösen.	Imagery	frustration + stuck + help + instructions
61	IN11MH	Plüpp	neu	Die Mühe, wenn man eine andere Sprache spricht, im Vergleich zur eigenen Muttersprache.	Imagery	zeal + joy + recognition + completion + pride
62	IN11MH	Preier	emo	Desinteresse vortäuschen, obwohl man etwas eigentlich haben möchte.	Imagery	annoyance + anger + hurt + ignore + roll your eyes
63	IN11MH	Troff	neu	Die Gewissheit darüber, dass den eigenen Taten und Entscheidungen Konsequenzen folgen werden.	Imagery	positive or negative + inspiration + reminding of own needs + fellow human beings
64	IN11MH	Faube	neu	Die Möglichkeit, dass sich aus dem Blickkontakt mit einer anderen Person ein Gespräch ergibt, das diese initiiert.	Imagery	excitement + pure joy + butterflies in the stomach + curiosity about getting to know each other + can hardly believe it
65	IN11MH	Weforshank	neu	Die durch Berührung erzeugte Bindung zwischen Eltern und ihrem Kind.	Imagery	crying + emotional + built close to the water + criticism + calming down + shaming
66	IN11MH	Muschürdur	emo	Eine bittere Traurigkeit empfinden, die einen grundlos überwältigt.	Imagery	be mad at self + hope + search for word
67	IN11MH	Ferandsor	neu	Wenn man verschlossen ist, weil man lieber für sich bleibt als unter anderen Menschen.	Imagery	calm + contentment + aspiring
68	IN11MH	Rugliebast	emo	Nervös ein wichtiges Gespräch im Kopf durchspielen, um keine Fehler zu begehen.	Imagery	well-being + love + warmth + security + feels good + watch out
69	IN11MH	Namistell	neu	Zufällig etwas finden, ohne danach gesucht zu haben.	Imagery	exhausting + effort + learning + learning success + english + spanish + school + presentation + phone call + abroad
70	IN11MH	Zimerhubst	emo	Das ausgelaugte und erschöpfte Gefühl nach einer schlaflosen, sorgenvollen Nacht.	Imagery	happiness + empathy + sadness + understanding + good friends
71	IN11MH	Enkmitas	emo	Die Frustration, wenn einem ein Wort auf der Zunge liegt, das einem entfallen ist.	Imagery	money + object + joy + surprise + fallen down + hidden
72	IN11MH	Skibt	neu	Der Zustand, in den man kommt, wenn man die Gefühle anderer Menschen teilt.	Imagery	fatigue + dissatisfaction + bad dream + waking up + light sleep
73	IN11MH	Mölauzegt	neu	Subjektive Bewertung, die nach innen und an sich selbst gerichtet ist.	Imagery	excitement + happiness + anticipation + cheering + checking
74	IN11MH	Neif	emo	Mit Leidenschaft und Engagement alles in ein Herzensprojekt investieren.	Imagery	reflect + improve
75	IN11MH	Wumeizauch	emo	Einen unerwünschten Ratschlag bekommen, der einem aufgedrängt wird.	Imagery	practice + frustration + success + keep at it
76	IN11MH	Häugnung	neu	Den Einfluss, den die Beobachtung einer zwischenmenschlichen Interaktion auf einen hat.	Imagery	no fear of contact + extraverted + romantic + means to an end
77	IN11MH	Wunicher	emo	Der starke Drang eine unangenehme Begegnung zu vermeiden.	Imagery	responsibility + burden + being able to achieve something + change
78	IN11MH	Glühm	neu	Ruhig sitzen bleiben, wenn es an der Tür klopft, und abwarten, ob es nochmal klopft.	Imagery	plan + satisfaction + pride + achieve goal + celebrate success
79	IN11MH	Struk	neu	Die Zeit bevor man eine Reise antritt, die man geplant hat.	Imagery	solution + problem + speaking + waiting + hoping
80	IN11MH	Bismirbiel	emo	Eine heftige emotionale Reaktion auf ein unbedeutsames Ereignis zeigen.	Imagery	avoiding eye contact + keeping your distance + talking to other people + feeling uncomfortable + leaving quickly
81	IN11MH	Mege	emo	Das sichere Vertrauen in jemanden, der zuverlässig seinen Pflichten nachkommt.	Imagery	bliss + can stay like this + desire
82	IN11MH	Zwelde	emo	Das glückliche und friedliche Aufwachen nach einem angenehmen Traum.	Imagery	too much + time out + rest + social interactions + recharge battery + isolated + introverted
83	IN11MH	Bisknirgo	emo	Ein Zustand vollkommener Harmonie und Gelassenheit, in dem man friedliche Ruhe empfindet.	Imagery	sun + window + warmth + smile + well rested + good day + energy + indulge in dreams
84	IN11MH	Wupforau	emo	Die besondere Empfindung, dass man sich in die Person verlieben wird, die man gerade kennengelernt hat.	Imagery	family + friendship + trust + being able to tell everything
85	IN11MH	Iberletsch	neu	Der Impuls, eine andere Person berühren zu wollen.	Imagery	unnecessary + everyone does + strategy + hoping
86	IN11MH	Herklögen	emo	Die ruhige Geborgenheit in der Anwesenheit einer vertrauten Person.	Imagery	burden + bad mood + listlessness + despair + bed + doing nothing + crying
87	IN11MH	Ismiprämpf	emo	Die Vorfreude, wenn man Besuch erwartet und ständig ungeduldig prüft, ob die Person angekommen ist.	Imagery	windows + jittery + walking around + cleaning + happiness + looking in the mirror
88	IN11MH	Odef	neu	Die Erkenntnis, dass man sich in die Richtung entwickelt hat, die man vorhergesehen hat.	Imagery	listening + insecurity
89	IN11MH	Bingsemöl	neu	Wenn man eine Tätigkeit wiederholt, um sie ausreichend gut durchführen zu können.	Imagery	important decisions + lecture + work + school + friendship + relationship + everyday + evaluation
90	CL10SL	Mölauzegt	neu	Subjektive Bewertung, die nach innen und an sich selbst gerichtet ist.	Control	frustrating + standstill + information + level of knowledge
91	CL10SL	Wupforau	emo	Die besondere Empfindung, dass man sich in die Person verlieben wird, die man gerade kennengelernt hat.	Control	passion + commitment + investing + dedication + time
92	CL10SL	Glühm	neu	Ruhig sitzen bleiben, wenn es an der Tür klopft, und abwarten, ob es nochmal klopft.	Control	unwanted + pushy + annoying + irritable + negative + tip + well intentioned + unhelpful + useless
93	CL10SL	Rugliebast	emo	Nervös ein wichtiges Gespräch im Kopf durchspielen, um keine Fehler zu begehen.	Control	learn + influence + imitation + empathy
94	CL10SL	Troff	neu	Die Gewissheit darüber, dass den eigenen Taten und Entscheidungen Konsequenzen folgen werden.	Control	coincidence + encounter + love at first sight + attraction + attractiveness
95	CL10SL	Namistell	neu	Zufällig etwas finden, ohne danach gesucht zu haben.	Control	inappropriate + exaggerated + understandable + irrational + emotional + stressful + conflict + overreaction
96	CL10SL	Zwelde	emo	Das glückliche und friedliche Aufwachen nach einem angenehmen Traum.	Control	frustrating + forgotten + omitted + reminder
97	CL10SL	Bisknirgo	emo	Ein Zustand vollkommener Harmonie und Gelassenheit, in dem man friedliche Ruhe empfindet.	Control	trust + reliability + connectedness + binding + secured
98	CL10SL	Häugnung	neu	Den Einfluss, den die Beobachtung einer zwischenmenschlichen Interaktion auf einen hat.	Control	bond + relationship + closeness + security + family
99	CL10SL	Bismirbiel	emo	Eine heftige emotionale Reaktion auf ein unbedeutsames Ereignis zeigen.	Control	english + foreign language + struggle + enkmitas + words + think + difficulties + uncomfortable + german + accent + grammar
100	CL10SL	Neif	emo	Mit Leidenschaft und Engagement alles in ein Herzensprojekt investieren.	Control	empathy + empathy + connectedness + relate + friendship + understanding + security
101	CL10SL	Herklögen	emo	Die ruhige Geborgenheit in der Anwesenheit einer vertrauten Person.	Control	surprise + coincidence + item + object + misplaced + forgotten
102	CL10SL	Skibt	neu	Der Zustand, in den man kommt, wenn man die Gefühle anderer Menschen teilt.	Control	stress + restlessness + exhaustion + worries + tiredness + dissatisfied + irritated
103	CL10SL	Ferandsor	neu	Wenn man verschlossen ist, weil man lieber für sich bleibt als unter anderen Menschen.	Control	suitcase + pack + ready + vacation + journey + train + plane + farewell + silence + nervousness + serenity + backpack + bags
104	CL10SL	Vul	neu	Die Erkenntnis, dass man weitere Informationen braucht, um ein Problem zu lösen.	Control	subjective + evaluation + criticism + praise + feeling + self-awareness + reflection + reflect + perception + mirror + behavior + analysis
105	CL10SL	Bingsemöl	neu	Wenn man eine Tätigkeit wiederholt, um sie ausreichend gut durchführen zu können.	Control	darts + practice + repetition + focus + study
106	CL10SL	Wunicher	emo	Der starke Drang eine unangenehme Begegnung zu vermeiden.	Control	push + physical proximity + impulse + inappropriate + retreat
107	CL10SL	Iberletsch	neu	Der Impuls, eine andere Person berühren zu wollen.	Control	certainty + final + decision + choice + consequence + certain + procrastination
108	CL10SL	Wumeizauch	emo	Einen unerwünschten Ratschlag bekommen, der einem aufgedrängt wird.	Control	insight + plan + foreseeable + arrived + development + influence + forward-looking
109	CL10SL	Faube	neu	Die Möglichkeit, dass sich aus dem Blickkontakt mit einer anderen Person ein Gespräch ergibt, das diese initiiert.	Control	uncertainty + conversation + gaze + looking away + intense
110	CL10SL	Muschürdur	emo	Eine bittere Traurigkeit empfinden, die einen grundlos überwältigt.	Control	uncomfortable + worry + nervousness + social anxiety + uncomfortable + person
111	CL10SL	Plüpp	neu	Die Mühe, wenn man eine andere Sprache spricht, im Vergleich zur eigenen Muttersprache.	Control	meditation + gratitude + breathing + universe + harmony
112	CL10SL	Preier	emo	Desinteresse vortäuschen, obwohl man etwas eigentlich haben möchte.	Control	introverted + detached + quiet + social contacts + conversations + partying + reading + netflix + quiet + independent + feeling unwell
113	CL10SL	Struk	neu	Die Zeit bevor man eine Reise antritt, die man geplant hat.	Control	sleep + wake up + satisfied + comfortable + warm + safe + secure
114	CL10SL	Ismiprämpf	emo	Die Vorfreude, wenn man Besuch erwartet und ständig ungeduldig prüft, ob die Person angekommen ist.	Control	security + security + serenity + trust + calm + friendship + feeling + pleasant
115	CL10SL	Enkmitas	emo	Die Frustration, wenn einem ein Wort auf der Zunge liegt, das einem entfallen ist.	Control	fake + pretending + interested + wanting + dishonest + envy + insecurity
116	CL10SL	Zimerhubst	emo	Das ausgelaugte und erschöpfte Gefühl nach einer schlaflosen, sorgenvollen Nacht.	Control	feeling + subconscious + crying + despair + being alone + being overwhelmed
117	CL10SL	Weforshank	neu	Die durch Berührung erzeugte Bindung zwischen Eltern und ihrem Kind.	Control	impatience + anticipation + restless + waiting
118	CL10SL	Odef	neu	Die Erkenntnis, dass man sich in die Richtung entwickelt hat, die man vorhergesehen hat.	Control	uncertainty + patience + tension + consideration
119	CL10SL	Mege	emo	Das sichere Vertrauen in jemanden, der zuverlässig seinen Pflichten nachkommt.	Control	nervousness + worry + restless + phone call + promise + formulate
120	IN6DF	Namistell	neu	Zufällig etwas finden, ohne danach gesucht zu haben.	Imagery	explore something new
121	IN6DF	Bismirbiel	emo	Eine heftige emotionale Reaktion auf ein unbedeutsames Ereignis zeigen.	Imagery	experience + something new + enthusiasm for something new
122	IN6DF	Plüpp	neu	Die Mühe, wenn man eine andere Sprache spricht, im Vergleich zur eigenen Muttersprache.	Imagery	dissatisfaction + unhappy
123	IN6DF	Odef	neu	Die Erkenntnis, dass man sich in die Richtung entwickelt hat, die man vorhergesehen hat.	Imagery	lusche
124	IN6DF	Zwelde	emo	Das glückliche und friedliche Aufwachen nach einem angenehmen Traum.	Imagery	best dream
125	IN6DF	Troff	neu	Die Gewissheit darüber, dass den eigenen Taten und Entscheidungen Konsequenzen folgen werden.	Imagery	nice + friendly
126	IN6DF	Wumeizauch	emo	Einen unerwünschten Ratschlag bekommen, der einem aufgedrängt wird.	Imagery	arrived + regular + caring + empathetic
127	IN6DF	Neif	emo	Mit Leidenschaft und Engagement alles in ein Herzensprojekt investieren.	Imagery	well prepared
128	AG10TF	Mölauzegt	neu	Subjektive Bewertung, die nach innen und an sich selbst gerichtet ist.	Control	negative + brooding + worry + stress + depression
129	AG10TF	Plüpp	neu	Die Mühe, wenn man eine andere Sprache spricht, im Vergleich zur eigenen Muttersprache.	Control	flow + important + work ethic
130	AG10TF	Wumeizauch	emo	Einen unerwünschten Ratschlag bekommen, der einem aufgedrängt wird.	Control	usually rather annoying + can be helpful + would you have dared to ask? + grateful + irritated + depending on the situation
131	AG10TF	Ferandsor	neu	Wenn man verschlossen ist, weil man lieber für sich bleibt als unter anderen Menschen.	Control	filmerisch + romantic comedy
132	AG10TF	Struk	neu	Die Zeit bevor man eine Reise antritt, die man geplant hat.	Control	logical + neutral
133	AG10TF	Bismirbiel	emo	Eine heftige emotionale Reaktion auf ein unbedeutsames Ereignis zeigen.	Control	overcompensation
134	AG10TF	Namistell	neu	Zufällig etwas finden, ohne danach gesucht zu haben.	Control	annoying + exhausting + foreign languages ​​+ frequent + difficulty finding words + only why
135	AG10TF	Bingsemöl	neu	Wenn man eine Tätigkeit wiederholt, um sie ausreichend gut durchführen zu können.	Control	neutral + prerequisite for cooperation + desirable
136	AG10TF	Vul	neu	Die Erkenntnis, dass man weitere Informationen braucht, um ein Problem zu lösen.	Control	beautiful + security + warmth + trust + important
137	AG10TF	Rugliebast	emo	Nervös ein wichtiges Gespräch im Kopf durchspielen, um keine Fehler zu begehen.	Control	social pressure + trust more + become more tolerant of mistakes + understandable
138	AG10TF	Wupforau	emo	Die besondere Empfindung, dass man sich in die Person verlieben wird, die man gerade kennengelernt hat.	Control	positive + laugh + warm + friendship + friend
139	AG10TF	Faube	neu	Die Möglichkeit, dass sich aus dem Blickkontakt mit einer anderen Person ein Gespräch ergibt, das diese initiiert.	Control	happiness + joy + pleasant
140	AG10TF	Glühm	neu	Ruhig sitzen bleiben, wenn es an der Tür klopft, und abwarten, ob es nochmal klopft.	Control	far too often + exhausting
141	AG10TF	Preier	emo	Desinteresse vortäuschen, obwohl man etwas eigentlich haben möchte.	Control	desire + longing + excitement
142	AG10TF	Wunicher	emo	Der starke Drang eine unangenehme Begegnung zu vermeiden.	Control	annoying + exhausting + self-critical + doubts
143	AG10TF	Neif	emo	Mit Leidenschaft und Engagement alles in ein Herzensprojekt investieren.	Control	pressure + forced + intrinsic?
144	AG10TF	Ismiprämpf	emo	Die Vorfreude, wenn man Besuch erwartet und ständig ungeduldig prüft, ob die Person angekommen ist.	Control	overwhelming + beautiful + frustrating + complicated by pandemic + motivated
145	AG10TF	Skibt	neu	Der Zustand, in den man kommt, wenn man die Gefühle anderer Menschen teilt.	Control	self-efficacy + pride + self-determination
146	AG10TF	Zwelde	emo	Das glückliche und friedliche Aufwachen nach einem angenehmen Traum.	Control	self-efficacy + effort + paying off + positive + feeling good + confidence
147	AG10TF	Mege	emo	Das sichere Vertrauen in jemanden, der zuverlässig seinen Pflichten nachkommt.	Control	blush + attraction + attractive + dare + courage
148	AG10TF	Zimerhubst	emo	Das ausgelaugte und erschöpfte Gefühl nach einer schlaflosen, sorgenvollen Nacht.	Control	forward looking + exhausting
149	AG10TF	Muschürdur	emo	Eine bittere Traurigkeit empfinden, die einen grundlos überwältigt.	Control	nirvana + boredom + tranquility + allure freedom
150	AG10TF	Iberletsch	neu	Der Impuls, eine andere Person berühren zu wollen.	Control	negative + ugly + cautious + sad
151	AG10TF	Troff	neu	Die Gewissheit darüber, dass den eigenen Taten und Entscheidungen Konsequenzen folgen werden.	Control	exciting feeling + realistic dream? + processing + introspection
152	AG10TF	Enkmitas	emo	Die Frustration, wenn einem ein Wort auf der Zunge liegt, das einem entfallen ist.	Control	friendship + love + company + pleasant + pub + after-work beer
153	AG10TF	Bisknirgo	emo	Ein Zustand vollkommener Harmonie und Gelassenheit, in dem man friedliche Ruhe empfindet.	Control	incongruent + goofy + selfless? + uncomfortable
154	AG10TF	Odef	neu	Die Erkenntnis, dass man sich in die Richtung entwickelt hat, die man vorhergesehen hat.	Control	strange + temporary + physicality
155	AG10TF	Weforshank	neu	Die durch Berührung erzeugte Bindung zwischen Eltern und ihrem Kind.	Control	paranoid + prepared + exhausting
156	AG10TF	Herklögen	emo	Die ruhige Geborgenheit in der Anwesenheit einer vertrauten Person.	Control	social pressure + uncomfortable + interaction + anxiety
157	AG10TF	Häugnung	neu	Den Einfluss, den die Beobachtung einer zwischenmenschlichen Interaktion auf einen hat.	Control	pressure + preparation + uncomfortable + doubt? + sovereign
158	ST23WL	Namistell	neu	Zufällig etwas finden, ohne danach gesucht zu haben.	Control	exhausting + you want to find a solution + the best possible solution + can only affect me or often others + decisions + future + past + actions + that happened
159	ST23WL	Wumeizauch	emo	Einen unerwünschten Ratschlag bekommen, der einem aufgedrängt wird.	Control	ambitious + i want to do well + i give everything + i don't do it half-heartedly + afterwards you can be proud of having done it + effort + exhausting + stress + reward
160	ST23WL	Wunicher	emo	Der starke Drang eine unangenehme Begegnung zu vermeiden.	Control	meant nicely + can also be annoying + know-it-all + strange feeling + as if you couldn't do it alone + can help
161	ST23WL	Zwelde	emo	Das glückliche und friedliche Aufwachen nach einem angenehmen Traum.	Control	hug + loving gesture + wedding + nice feeling + i am infected by their happiness + smile + cozy + security + emotional warmth + two people + partner + friendship
162	ST23WL	Troff	neu	Die Gewissheit darüber, dass den eigenen Taten und Entscheidungen Konsequenzen folgen werden.	Control	nice encounter + person maybe lives near me + part of my social environment + have something in common + so you probably see each other more often
163	ST23WL	Bisknirgo	emo	Ein Zustand vollkommener Harmonie und Gelassenheit, in dem man friedliche Ruhe empfindet.	Control	usually unnecessary + one only sees afterwards + that it was exaggerated + often under stress + can affect me and others too + maybe because it is important to me
164	ST23WL	Mege	emo	Das sichere Vertrauen in jemanden, der zuverlässig seinen Pflichten nachkommt.	Control	forgotten + language + uncomfortable + annoying + it's on the tip of my tongue + i'm sure i'll remember right away + what could it be related to + distracted
165	ST23WL	Häugnung	neu	Den Einfluss, den die Beobachtung einer zwischenmenschlichen Interaktion auf einen hat.	Control	to-do list + check off + neutral + if i don't know the person well + can encourage me to want to do my own tasks + can put pressure on me with my own tasks + work + university
166	ST23WL	Struk	neu	Die Zeit bevor man eine Reise antritt, die man geplant hat.	Control	nice feeling + security + security + you can let yourself go + at home + you can be exactly + as you are + mom + dad + siblings
