	Name	Emotionalität	Definition	Assoziationen	Index der Scores	Durchschnittsindex
10	Preier	neu	Decline an offer you actually want to accept.	"['Training, football, university, learning', 'exciting tense anticipation wanderlust', 'pain, uneasiness, blame, shame, achievement, inability, appropriateness', ""it's on my tongue thinking, racking my brains, despair, unsatisfactory, annoying, relief when it comes to mind, word finding disorder, city country river"", 'enterprise, productive, produce, difficult, talent, hard work, competent, worthwhile, entrepreneur (any', 'zeal, confidence, ability, courage, self-confidence', 'no coincidence, beautiful, certainty, why', 'Wow, flashed, love at first sight, nice warm feeling, hope, planning for the future', 'beautiful, pride', 'avoid, social phobia, laziness, listless, needing rest, go away, dodge, hide', 'You always see each other twice, cross paths, intensification, chance acquaintance', 'Conclusion, not always positive, deliberation, thoughts', 'school, girlfriend, crush', 'Stress, guilt, tension', 'EmpathieMitgefühl', 'annoying misfire', 'unrest, anticipation, jittery, restless', 'attempt, preparation, application, important, future, pressure situation', 'Inner peace Coming to rest, being relaxed', 'angry, upset, sounding stupid, annoyed, feeling incapable or unprepared, nervous, irritable', 'Goal achieved, tasks, master, finish, list, rejoice', 'unbalanced, negative, stressed, touched, anger, unhappiness, hate, unhappiness, sadness', 'self-reflection, time, objective, subjective, relative, time-consuming, development, improvement, assessing situations, self-interest, important, important for oneself, feasible?, understand', 'Pressure, having something in mind, making compromises', 'Excitement, prepare, tense, control, hope', 'Departure, joy, idea, new beginning, radiate, commitment, enterprise, anticipation, will be fine, optimism, plan', 'happiness, feeling good, happy', 'harmonioussafelovingempatheticpeacefulsafeindependent', 'happiness, contentment, future, balance', 'peacefully, not often, meditate, warmth, thoughts, stillness, contentment', 'Proximity, Known, Repeat, Event', 'Exaggerated, well recognized, super perceived', 'Meeting, new contact, social']"	[[877, 754, 1151, 438, 855, 1493, 1860, 1613, 851, 1226, 11, 1633, 1106, 900, 413, 172, 275, 992, 325, 96, 9, 1264, 977, 463, 1127, 589, 529, 1212, 398]]	814.1034482758621
11	Preier	emo	Faking disinterest when you actually want something.	"['Practice, patience, learning, perfectionism, hobby, skill', 'Glances, observation, strange, stalking, watching a film, influencer, learning from something, envy', 'Annoyance, anger, offended, ignore, roll your eyes', 'introverted, isolated, quiet, social contacts, conversations, parties, reading, Netflix, quiet, independent, feeling unwell', 'Desire, longing, excitement', 'unpleasant, challenge, opportunity to learn from it, you want to show that you can actually do better, learning, embarrassing', 'Happiness, stillness, feeling good, cozy, carefree, comforting, at home, familiarity, relaxation, peace', 'Reality or dream, still tired, details are fading', 'Open without pretending', ""Romantic, tingling in the stomach, electric, tension, everything else doesn't matter, the environment fades out, seductive, playful, film, embarrassing, blushing, mysterious"", 'exciting, anticipation', 'beautiful, romantic, sudden, exciting, stirring, special', ""Future, study, achieve goals, be consistent, be satisfied, pride, something is worthwhile, make an effort, keep at it, don't give up"", 'Partner, Love, Home, Trust, Relationship, Family', 'Hope, way out, thinkable, consider, solution', 'calming, relaxing, division of labour, fair, support, not alone', 'Desire, joy, desire, fun, excess, physical closeness, satisfaction, beautiful, warm, intense, strong, pull, to be connected, stand still, moment, enjoy, no thought of the same, fantasy', 'weird, tired, unproductive, aggressive, irritable, needing sleep, eyes half shut, regret', 'Excitement, negative or positive joy, mood elevating, mood schl', 'Empathy, charity, friendship, sympathy, superior, job, therapy, partnership, wa', 'unwell, unable to sleep, tense', 'Safety, security, relaxed, exchange, pleasant, cooking together, eating together, having fun, being familiar', ""Pride, evaluation, retrospect, satisfaction, development, determination, being composed, standing by one's decision"", 'Babies, lots of physical contact, wonderful, unfamiliar to some when women breastfeed in public, important, invisible', 'desperate, anxious, worried, worrying, being alone, why, why now, interpreting from the reason', 'be annoyed, stress, diligence, sadness', 'observe, romance, empathize, be happy for others, envy, warm-hearted, empathy', 'non-verbal communication, prompting, quick and easy communication', 'Prevent, uncomfortable, violated privacy', 'saliva, mouth, love, romance, sex, romance films, lips, daydreams, anticipation, partner, crush, intimacy', 'Interpersonal, Wordless, Instinct, Body language']"	[[443, 1170, 1295, 335, 224, 969, 1186, 62, 601, 1342, 1758, 495, 1277, 1075, 1755, 226, 588, 679, 1796, 1750, 808, 964, 1849, 888, 687, 836, 208, 531, 587, 164]]	884.9333333333333
12	Muschürdur	neu	Noticing a sensation in yourself that occurs for no reason.	"['Finances, weight, plan, determination, stress', ', unsympathetic to other people, rest and relaxation, demarcation from others', 'Love, Romance, Restaurant, Happiness, Memory', 'undesirablepleasant, different opinion, stranger, influence, advice, observed, let me', ""can't get some rest, mom, train ride, look out the window, wait, tidy up, clean up, prepare, can't find your way"", 'fun, interesting, serenity, talks, celebrate, friendship, relax', 'love, friendship, important, enthusiasm, great, beautiful', 'conscious, planning, learning to live with consequences, maturity', 'beautiful, unexpected, pleasant', 'Self-hatred, despair, swearing, swearing, self-criticism, inner critic, feeling of failure, shame', 'Perfectionism, Commitment, Faithful, Practice, Training', 'Bliss, rested, alert, cheerful, contentment', 'Driving, math, sex, studying, practicing', 'Anticipation, expectation, excitement', ', need more information', 'exciting, uncertain', 'rest, relaxation, lying down, breathing, stillness, contentment', 'crunch, sensation, quiet', 'Depression', 'Empathy, feelings, empathize, feel, people, social, together, human, intelligent, social intelligence, empathy', 'shell, joy, happiness, oblivion, special, memory, jackets, letters, tidy up, time', 'Proud, hurt, unhappiness, alone, drama, lying, dishonest', 'urge, annoying, caustic, bareness, gap in the head, stopping, stop, unpleasant, embarrassing, bad image, one seems dumber than one is, word finding disorder, wernicke aphasia, mean, own mistake that is not welcome', 'Contentment, balance, serenity, relax, happiness, joy', 'at a loss, overwhelmed, angry, confused and thoughtful, stop', 'Proud, one step, joy, contentment, soon done, progress, nod, elated', 'tension, excited, happy', 'routine, security', 'drinking, hangover, unproductivity, pain, eating', 'unpleasant or pleasant, hope, fear, avoidance, speaking, looking, staring', 'Confusion, pride, bad mood, not answering', 'Social anxiety, over-preparation, phone inability of my generation', 'Self-esteem, positive, achieving goals, being happy with yourself']"	[[1460, 957, 1217, 900, 1352, 577, 1158, 1541, 90, 1258, 1128, 662, 1716, 772, 128, 13, 320, 720, 1506, 46, 394, 1809, 460, 181, 1525, 267, 1015, 1733, 1883, 708, 1494, 1900, 652]]	955.8181818181819
13	Muschürdur	emo	Feeling a bitter sadness that overwhelms you for no reason.	"['Relationship, friendships, lonely, reserved', ""Anger, tension, words, thoughts, can't think of anything else, stammer, insecurity, anger, disappointment, upset"", 'be mad at yourself, look up Hoffench word', 'unwell, worry, nervousness, social anxiety, uncomfortable, person', 'Nirvana, boredom, calm, stimulus freedom', ""little moment of happiness, surprise, nice gut feeling, smile, you didn't expect it, that's why it's even nicer, little things, I want,"", 'Empathy, encounter, suggestibility, feel, curiosity, contact, excited', 'packing, suitcase, distant countries, airport, plane, beach vacation, long drive, joy, excitement, bliss, nervousness, mountains, sun, hiking', 'Super, free time, good planning, respect, everyone should do it, implementation', 'between sleep and wakefulness, trance, many thoughts, rested, confusion, searching for messages, restful', 'love forever', 'positive or negative, trying to start a conversation, restaurant, old acquaintances', 'Palpitations, trust, security, social, interaction, parents, friends, partners, calm down, de-stress, support, conversations', 'Prior knowledge, trust in yourself, joy, satisfaction, looking back, goal achieved', 'Hope, joy, trust, tension, friends, thoughts, safe, uncertain, ready, undecided', 'scarytrendy, new, unsafe, excitingS', 'chill, familiar, beautiful, relaxed, pleasant', 'helpful, confused, unfamiliar, surprising, variety, meeting new people, coincidence', 'Joy, loving, warmth, intimacy', 'closeness, trust, attachment, trip, vacation, time together, family, warm, sunny, joy, hope', 'Serotonin boost, money, socializing, better mood', 'pride, success, career, education, character, development, achieving goals, becoming a better person', ""Finding words, practicing, assessing the reactions of others, speaking fluently, doctor's appointments, important conversations, not forgetting details, preparation, perfectionism"", 'Fulfillment, rare, one should praise oneself more, self-reflection, is often neglected, pat on the back', 'Motivation, overcoming the weaker side, actionism, having a bite, discipline, inner drive', 'self-criticism, reflective thinking', 'romance, love, dating, shyness, overcoming, lack of courage', 'introverted, reading, watching movies, drawing energy from alone time, shy, skeptical', 'exercise, training, improvement, ambition', 'Empathy, confidence, warmth, love, strength, fulfillment', 'security, upbringing, love, at home, caring for, long-term, responsibility, aging, is passed on, evolution, innate, survive, caress, hug', 'Thoughts, stress, analysis, reflection, dark circles, sadness, bad mood, tired']"	[[494, 921, 576, 479, 1493, 964, 598, 1683, 1241, 467, 1952, 268, 1146, 1463, 1761, 1069, 1525, 940, 1542, 1932, 1906, 1696, 1078, 946, 775, 791, 1711, 1055, 1878, 1576, 777, 189]]	1152.875
14	Ismiprämpf	neu	Assuming someone is coming to visit and regularly checking to see if the person has arrived.	"['excitement test application uncomfortable fear', "", useless, funny, I wouldn't keep checking, I know when it's coming"", 'Meditation, rest, balance, freedom, contemplation, time, relaxation', 'Silence, avoidable, postman, tense, not in the mood to talk, showering, eating, in pajamas or naked, looking through the window, incompetence, childish, afraid, annoyed', 'Zen, Buddha, Buddhism, rest, stillness, free, connected, in the here and now, soul, being one', 'nervous, mental, stage fright, organized, control, insecure', 'growing up, important, meta, good feeling, empowerment, me, great', 'listening inward, surprised, thoughtful, irritated, amazed, stopping, wants to hide', 'beautiful, lust, fun, necessary, gone, new', 'impatient, waiting, looking, window, looking out, clock, walking around, door, restless, anticipation', 'Empathy, encouragement, cheering, sharing and giving joy, warmth, support', 'Communication, interaction, exchange, friendly, interesting, learn new things, make contacts', 'Dreaming, Blissful, Great, Sleep', 'joy, warm feeling, abundance, good day, life', ', hypocritical behavior', 'Postman, garbage disposal, hope for neighbors', 'joy, gratitude, appreciation, warmth, smile, laugh', 'relaxation, melancholy, memory', 'Relaxed trust', 'contentment, rest, peace, rested, energy, joy, security', 'Uncertainty, fear, trusting, nervous, sweat, strange, inhibition, mouth, hearing, speaking, classroom, presentation', 'Planning, positive, development, happiness, study, work, learn', ""annoying, time consuming, emotional imbalance, devastating, groundless, sudden, for no reason, trying to see oh it's coming from, help, attitude change, slow, tired, sadness"", 'Harmony, relaxation, calm, contentment, serenity', 'Happiness, joy, community, fun, genuine, carefree', 'Pack your suitcase, Corona, joy, excitement, excited, noise, pull, zipper', 'fear, husslen, focus, training, anger, envy', ', , passion, love, warmth', 'productive, proud, start up', 'impertinent, ringing, lazy, slow', ""Can't get going, stress, been up too late, slept poorly, tossing and turning, lying down, staring at the ceiling, headache"", 'Look at the window, check whatsapp status, wait at the door, anticipation, expectations', 'Examination, be well prepared, orderly, structured']"	[[797, 1917, 1009, 1353, 539, 714, 906, 1662, 1522, 38, 523, 131, 1580, 1501, 183, 1592, 1583, 1644, 55, 935, 586, 914, 1191, 630, 1008, 1688, 1187, 1251, 1516, 1328, 40, 66]]	987.15625
15	Ismiprämpf	emo	The anticipation when you are expecting visitors and are constantly impatiently checking whether the person has arrived.	"['Closeness, impatience, love, relationship, intimacy, touch', 'Eagerness, joy, fulfilment, heart, effort, immersion, losing oneself', 'Windows, jittery, walking around, cleaning, happiness, looking at the mirror', 'Security, safety, serenity, trust, peace, friendship, feeling, pleasant', 'overwhelming, beautiful, frustrating, complicated by pandemic, motivated', ""uncomfortable when you're stressed, time, maybe you just don't want to, don't like other people, you're not in the mood for conversations neighbors, acquaintances, people with whom you don't have such a close relationship"", 'Ambition, sense of duty, demands, practice, discipline, perseverance, motivation, being good at something, pride, training, goals', 'calm, still, warm, relaxed, no thoughts, warm breeze', 'Self-Image, Perception, Emotions, Rational', ""Indifference, cool, it's ok, a little pride, happiness for the person, unaffected himself, rather positive feeling, how well the tasks were done, just getting them done is usually not enough, great, thumbs up, slight grin"", 'smile', 'self-reflective, strict, self-improvement, admitting mistakes, working on yourself', ""Touch, unwanted, suppress, stranger, enforce one's will, waiter, point out something, intercultural differences, pull"", 'stupid, lazy, uncooperative', 'insecure, anxious, lone wolf, strong, shy, sad, helpless', 'Emotions, empathy, not alone, connection, becoming aware', 'Warmth, closeness, security, longing, wanting, happiness, lightness, meaning, connectedness, physicality, more of it', 'frustrating, conflicted, doubt, indecisive, risk, isolation, skeptical, suspicious', 'excitement, desire, intimate, tension, longing, in love, butterflies in the stomach, nervous, shaky', 'fear, presentation, lecture, conflict, big task, job, management, exercise, routine, confidence, preparation', 'Pride, more intense with friends', 'Beautiful, one is happy for others, the skin becomes warm, one has to smile', 'future, paths cross again, make acquaintances, meet friends, companions, good feeling, likeable person, cross paths', ""Introvert, little acceptance from others, sensory overload in today's world, no desire to party"", 'Relaxation, calming down, bliss, it feels good, being able to talk, feeling free, joy', ', trust, love, feelings, security, hugs, confidence, not being afraid, security, childhood, basic trust', ""positive, happy, don't expect it, unexpected, positive surprise, little joy"", 'patient, expectant, calm, avoidance, unwilling, not sure, lack of motivation, maybe interrogated', 'sneaky, fox, clever, shame, hidden, envy', 'Control, security, trust, fear', 'planning, vacation, flying, road trip, partner, friends, provisions, summer, beach, new chapter, nervousness, chances, uncertainty, foreign', 'isolated, alone, calm, reflection, self-discovery, self-love, meditation']"	[[370, 591, 788, 828, 930, 1921, 407, 1519, 394, 1130, 508, 1251, 612, 1950, 1416, 503, 207, 886, 134, 885, 1305, 248, 657, 1751, 1280, 656, 1106, 1342, 964, 752, 747, 1616]]	926.6875
16	Glühm	neu	When there is a knock on the door, sit still and wait to see if it knocks again.	"['nervous, job interview, important, fear, practice, prepare, get better, good impression', 'accidental, joy, rediscovery, being happy, idea, key, search, find', 'Plan, satisfaction, pride, achieve goal, celebrate success', 'unwanted, pushy, annoying, irritable, negative, tip, well intentioned, unhelpful, useless', 'far too often, exhausting', ""nice feeling, it's the little things, being happy for others, treating yourself, cheering, relief when something great has worked out, good gut feeling, smile, joy, fam"", 'Need for discussion, shyness, giving up initiative, giving up responsibility, expectations, hoping, ordering, unknown, getting to know, strange', 'negative feeling', 'Bad past, rather hoping for a better future, distrust, individuality', 'tired, reproach, stay in bed, stress, nice evening, series, close eyes, not responsive', 'exciting, sweating, stage fright', 'positive, learn, be able to master safely', 'Foreign language, technical term, frustration thinking, going through it again and again, getting excited, racking your brains, will come back later', 'Anger, despair, thinking hard, on the tip of the tongue, stupid', 'Effort, learn, drive, excitement, happiness, pride, sweat, practice, excited, obstacles', ""Surprise, joy, new, unexpected, , doesn't matter"", 'Circles of thought, alienation, restlessness, tension, stiff, unrelaxed, agitated, restless, helpless, cramped, no physical contact, stuck in the head, no way out, exhausting, aimless', ', Freedom, power, feels good, free will, independent, strong', ""nervous, embarrassed, embarrassed, feels stupid, watches for mistakes, doesn't dare, shaky, sweating, insecure"", 'fit, anticipation, relaxation, energy, hope, warm, sensation, wanting to relive, realizing, sharing', 'Pride, motivation, excitement, nervousness, insecurity, courage', 'Why?, Uncertain, Uncomfortable, Whimsical, Anxious, Seek Causes', 'Pride, contentment, future, success, review, evaluation, go your own way, good feeling', 'Incomprehension, helplessness, periods, hormones, anger, reflection, feelings of guilt', ""often frustrating, afterwards you have the feeling that you can do it better, vocabulary that doesn't come to mind, exhausting, would like to be able to"", 'uncomfortable, stress, waiting, uncertainty, hearing, inner restlessness, excitement', 'personality development, personal performance, reflection, life path, good feeling, future', 'Repetition, excitement and nervousness, unpleasant, circles of thought, acting out every possible situation, weighing up, preparation, , concentration, fokussi', 'Fear, easily annoyed, desire for peace, introverted, shy of confrontation', 'Expectation, fear of rejection, disappointment', 'insecure, communication, fear, worry, embarrassing, learning, school, lessons, embarrassing, pressure, vacation, forgetting', 'Kitsch, stupid']"	[[826, 988, 854, 1508, 1945, 113, 225, 611, 1520, 1664, 1937, 465, 1568, 1569, 494, 975, 492, 354, 649, 131, 1025, 258, 964, 1153, 521, 422, 822, 1306, 1063, 519, 1287, 1845]]	939.78125
17	Glühm	emo	Pretending to be out of the house when there's a knock on the door and hoping the person will leave.	['Massage, relaxation, friend, love, wellness', ', happy, money, old things from the past, sort out, tidy up', 'Joy, lust, butterflies in the stomach, tension, imagination, closeness, gratitude', 'cheering up, brighten day, surprise, money, reminding other person, grin, happy, gift', 'Confident, proud, grown up, purposeful, competent, important, hopeful, clarity, clear head, no more headaches (Vul), finally, free', 'closed, sad, introverted, desperate, loss of trust, pain', 'why, explanation, uncertainty, tingling', 'unpleasant, sweating, practicing again and again, queasy feeling, palpitations, perfectionism, wanting to avoid it', 'tired, lazy, bad mood', 'Worry, fear, apprehension, apprehension, think, mind circles, trapped, over-concerned, imprisoned', 'waiting for better offers, indecisiveness, pleasing others', 'empathy', 'Nightmares, insomnia, discomfort, tired, sleep', 'Too bad I missed it', ', Impatiently waiting for a person you like', 'uncomfortable, feeling is hard to get rid of, doubting where you got this feeling from', 'laugh, hug, congratulations, inspiration, love, friendship, happiness, deserved, success', 'calm, still, tension, attentive, senses, wait', 'anger anger', 'novice, learning, insight, wisdom, experience, realism, plan', 'Room, dreams, bed, sleep, long night, tired, sluggish, short', 'hands, skin, love, affection, trust, together', ', training, practicing, getting better, mastering, perfecting, beginning, learning, skill, improving, engaging in something only interesting things, time, intention, comparing, self-interest', 'tired, exhausted, broken, listless, depressed, worried, restless', 'Trauma, insecurity, lonely, sad', 'We forever together, mum, dad, baby, family, warmth, sofa, hug, chips, blanket, support, always there, on the phone, advice, help, tools, spices, great, not everyone has them', 'mourning, alone, crying, looking ahead', 'surprisingly joyful exciting', 'sweet, cringe, unpleasant, envy', 'Relief, trust, security, rare', 'Pride, self-confidence, happiness, joy, future, work', 'Love, money, happiness, security', 'getting too close, unasked, know-it-all, helpful, problem']	[[1743, 1852, 1565, 1183, 1676, 544, 432, 290, 1423, 176, 32, 1279, 1167, 1895, 223, 633, 1759, 224, 1025, 937, 1660, 1821, 307, 835, 509, 1730, 1828, 1845, 992, 1371, 1545, 1943, 724]]	1126.3030303030303
18	Rugliebast	neu	Mentally rehearse a future conversation to prepare for it.	"['unlikely, rare, love, friend', ""don't feel frustrated, rather a neutral feeling if it doesn't occur to you, it's not bad either"", 'Rare, Interesting, Importance, Diffuse, Short', 'obsessive-compulsive disorder, wanting to be successful, perfectionism, learning, counterproductive, tension, anger, despair, self-loathing, sport, pressure to perform, tension', 'Seduction, fear, attractive, insecure, interested, erotic, flirting, pretty, shame, sex', 'empathy, compassion, love, affection, dreams, sadness', 'unnecessary, do it, why, conscientiousness', 'pleasant, friend, no stress, no arguments, always there for you, friendship, essential', 'ok', 'surprise, wonder, exaggerate, be sensitive, sensitivity, tingling,', 'to be unnoticeable, ashamed, uncomfortable', 'unnecessary, cowardly, dishonest', 'Way home, rain, clouds, bad weather, feeling unwell', 'great joy, smile, treat yourself', 'Getting to know each other through eye contact and resulting in conversations', 'fun, great meetings, barbecue', 'frustration, dissatisfied, in a bad mood, feeling weak', 'estimate, plan, consider, estimate, mind', 'love caring', 'joy, surprise, present, useful, memories, stories, nostalgienum_1', 'Sleep, two worlds, room, bed, remember, positive, process, reality', 'Happiness, balanced, positive, peace, tranquility, lying, leisure, paradise', 'Beautiful, cosy, pleasant, high spirits, positive start, gives strength, inner desire, memory, dreamlike, warm, daydreaming, sleep, relaxation, elation, energizer, energizing, think about it throughout the day', 'Sadness, listlessness, helplessness, dissatisfaction, feeling empty, alone', 'Delighted, excited, surprise, expectations, positive', ""erm, do I speak German?, German language, difficult language, doesn't exist, I actually know, dropped, forgotten, school, stupid, er, knowing makes ah, think again, pause, search"", 'stress, gernervt', 'Security, Trust, Honesty, ReliabilityLoyalty', 'blushing, nervousness, lack of relaxation', 'Excitement, planning, long wait, tingles, friends, countries, travel, pack, count days', 'New, Known, Repeat', 'Archive, work, colleague, unpleasant, contradiction, avoidance behavior', 'being good, perfectionism, stubborn, best, compulsion, ambivalent']"	[[1459, 1334, 686, 1401, 487, 1061, 969, 1565, 138, 449, 1915, 1930, 1883, 1889, 451, 1623, 1580, 27, 779, 721, 998, 663, 147, 1350, 529, 936, 970, 456, 959, 252, 1308, 748]]	989.46875
19	Rugliebast	emo	Nervously replay an important conversation in your head to avoid making mistakes.	"['bold, anger, insecurity, meddling, pushy', 'Insecurity, shyness, interest, speaking, silence, gestures, looks', 'Well-being, love, warmth, security, is good, watch out', 'copying, influencing, imitation, empathy', 'Social pressure, trust more, become more tolerant of mistakes, understandable', 'unsettling, one immediately thinks about it, overinterpretsthoughtful about what it could be, one looks for a reason, fear that it could be something bad, but usually nothing bad at all, often goes quickly', ""don't care, unimportant, lazy, don't want to get up, avoid contact, don't want to be disturbed"", 'Why, pain, trembling, feeling', 'Nice, annoying, helpful', 'Love, childhood, happiness, contentment, well-armed for the future, unfortunately not so for everyone, every child deserves love and closeness and warmth, mother, hug, laughter, carelessness, avoidance of disturbances', 'Coward', 'annoying, provocative, corrosive, parents, teachers', 'Relationships, social interactions, people, influencing, observing, thinking about changing behavior, calling parents, empathy, important, lonely', 'joy, excitement, relief, hiding', 'Warmth, letting go, joy, happy, relaxed, carefree, fun, good conversation, listening, problem solving, no stress', 'Anger, embarrassment, demonstration effect, drive crazy, self-reproach, restless', 'fuck, not now, who is that, not in the mood, avoidance, reluctance, excitement, unpleasant, wait, nervousness, rigidity, persevere, be hopeful', ', desire, palpitations, tense, desire, sometimes unreachable, frustration, waiting', 'Frustration, irritability, dissatisfaction, sad, in a bad mood, angry, morose, embarrassed, frustrated, crying', 'fear, distance, isolation, introvert, calm, stress, experiences, expectations, strangers, cellar, cold', 'Anticipation, curiosity, excited, demotivated', 'Expectation, closeness, obligation, wanting to be nice', 'Proverbs, foreign words, embarrassed, pause, emptiness in the head, brooding, one gets angry, restlessness, stuttering, silence, guessing', 'Helplessness, being overwhelmed, lack of understanding, hormones, periods, reflection necessary, writing in a diary, injustice towards others', 'palpitations, excitement, tingling, joy, mental cinema, suspense,', ', curiosity, joy, unexpected', 'Work, Leisure, Effort, Achievement, Invest, Reward, Be Excited', 'Trust, harmony, stability, feeling safe, security, protection, carefree', 'friends, family, partner, love, warmth, cuddle, loved, accepted', 'satisfaction, sense of duty', 'dependent on the dream, wishes to return, relief, accompanies you throughout the day, bizarre, few memories, fragmentary, fleeting, often in childhood, dependent on the person', 'Work, Stress, Panic, Exam, Failure, Anxiety']"	[[1496, 354, 1577, 349, 1581, 567, 1607, 955, 1246, 1751, 657, 1870, 1081, 1801, 1455, 1212, 888, 489, 506, 849, 793, 1107, 1261, 618, 1594, 785, 551, 1234, 1397, 844, 684]]	1069.6451612903227
20	Wumeizauch	neu	Received advice from someone without asking for it.	"['Questions Missing research Call the team', 'absolutely nonsensical, childlike behavior, hardly any self-confidence, you should stand by your interests and needs', 'Postchable, tension, silence, patience', 'amazement, positive and negative feelings, tired, annoyed, mush, happy', 'Overreact, Fast, Sensitive, Worry, Mother, Neurotic, Tension, Autistic', 'love, connectedness, basic trust, bond, stop', 'bad, uncomfortable, stop, please', 'interesting, waiting, curious, exciting, hopeful, expectation', 'difficult, strange, unpleasant', 'Calm, relaxation, low-stimulus, lack of irritation, fearlessness, apathy, depth, nothing, meditative', 'Family, affection, warmth, home, caring, protecting, love, being familiar', 'laziness, insecurity', 'Pondering, technical terms, nervous, uneasiness', 'anticipation possibility', ', indifference', 'Hugs, recognition, intimacy, gently', 'uncertainty, conflict, questioning, rethinking', 'excitement, heart palpitations, train', 'being human', 'self-reflection, criticism, observation, maturity, target comparison', ""Time, check, regular, hasty, anticipation, don't want to miss, friends, family, home, meeting, appointment, control"", 'reflect, causality, responsibility, consider, neutral', 'haptics, interaction, sensitivity, help, security, physical closeness, crossing borders', 'Excitement, joy, excitement, lack of patience, anticipation', 'confused, clueless, overwhelmed, questions, uncertainty, nervous', 'meet, joy, relief, done, satisfied, new beginning, conclusion, independent', 'satisfying, relieved', 'closenessfamiliaritycuriosity', 'friends, fun, chill, talk, help, not alone, eat', 'Manipulation, sometimes necessary, sad, pretending', ""slept badly, half awake, dozing, stress, can't let go"", 'Fear, brooding, counterproductive, journaling', 'sleep, processing, memory, diary']"	[[1088, 1800, 177, 638, 1387, 1314, 1575, 184, 1365, 378, 502, 1263, 459, 71, 1405, 954, 250, 1881, 48, 341, 555, 205, 416, 1182, 1037, 209, 97, 125, 1059, 856, 1885, 1805, 1237]]	840.8484848484849
21	Wumeizauch	emo	Getting unwanted advice foisted on you.	"['Nervousness, daydream, hope, inspiration, warmth, joy, confused thought', 'Depression, sadness, loneliness, alone, crying, feeling empty, questioning everything, heartbreak, deep sadness, reasonless', 'Practice, frustration, success, keep at it', 'Cognition, plan, foreseeable, arrived, development, impact, prospective', 'arrived, regular, caring, filling', 'usually rather annoying, can be helpful, would you have dared to ask?, grateful, irritable, depending on the situation', ""Ambitious, I want to do well, I give everything, I don't do it half-heartedly, you can be proud of having done it, effort, exhausting, stressful, reward"", 'Review, reflection, development, goal setting, meeting goals, confirmed expectations, pride, insight', ""please don't go away, don't want, dislike, fear, excitement, tachycardia, nausea"", 'Hole in the head, sieve, board in front of the head', 'Growing up, inner contentment, childhood, my former self would be proud of me, motivation, pat on the back, independent, life is ahead, self determination, life stories', 'fear, no desire', 'Empathy, movies, series, friends', 'unpleasant, know-it-all, avoid, unsympathetic, get out of the way, discussion, argument, persuade, individuality', 'Practice, training, master, security, confidence, time-consuming', 'urge, will, temptation, feel, hurry, problem, love', 'beautiful, unique, connection, closeness, body warmth, love, security, support, family', ""Damn it, I'll have it in a moment, I know it, restless, expectant, excited, uneasy, agitated, tense, jittery-thoughtful, painful"", 'Self-determination, pleasant, strength, confident, increased self-esteem', 'Comfort, joy, community, interest, wellbeing, laughter, sharing, excited', 'Commitment, joy, passion, planning, event, community, improvement, novelty, experience, personalize, tools, time', 'as a child, anticipation of experiences, nervous', 'Awkward, Exciting, Smiling, Quickly Looking Away, In Public, Flirting, Being Shy', 'Impatience, curiosity, exhausting, always going to the window, partner, restlessness, driving yourself crazy, driving others crazy', 'neutral, urge for physical contact during Corona, physical contact in grief, aggression, want to give comfort', 'Joy, amazement, making plans and overturning old ones, horror, excitement positive or negative, perfect', ', anxiety, stress, repetition, tachycardia, fear of failure, preparation, exercise, stress', 'window, door, bell, anticipation, person coming for the first time, anticipation', 'very pleasantch work or sport after reaching your goals, vacation, beach, friends, family, long-awaited reunion, th', 'reliable, organized, trust, relief, admiration, praise', 'Peace of mind, dissolution of boundaries, enjoyment, mindfulness, freedom', 'development, job, studies, body, looking back, recharge your batteries, gain experience, long process, often very late, leaving things behind, ambition, striving']"	[[1042, 394, 1304, 451, 1105, 417, 585, 775, 736, 368, 699, 802, 1795, 209, 1444, 774, 1827, 720, 1549, 1634, 1290, 1375, 860, 535, 1026, 1098, 608, 1062, 1909, 1763, 1492, 685]]	1010.40625
